id,conformer,converged,MMFF94s_energy_kcal_mol,meaning
P09_proposed_C4,0,True,59.20698235976266,geometry diagnostic; compare only conformers of same species
P09_proposed_C4,1,True,57.037920519599936,geometry diagnostic; compare only conformers of same species
P09_proposed_C6,0,True,91.02374871442836,geometry diagnostic; compare only conformers of same species
P09_proposed_C6,1,True,91.02374872042185,geometry diagnostic; compare only conformers of same species
P09_proposed_C6,2,True,88.41646088956635,geometry diagnostic; compare only conformers of same species
P09_proposed_C6,3,True,88.4164609224947,geometry diagnostic; compare only conformers of same species
P10_substrate,0,True,26.090799371161083,geometry diagnostic; compare only conformers of same species
P10_substrate,1,True,25.911478473615414,geometry diagnostic; compare only conformers of same species
P10_proposed_C2,0,True,88.77467972447471,geometry diagnostic; compare only conformers of same species
P10_proposed_C2,1,True,88.52452856189058,geometry diagnostic; compare only conformers of same species
P10_proposed_C2,2,True,88.77467975714697,geometry diagnostic; compare only conformers of same species
P10_proposed_C2,3,True,83.09605388980526,geometry diagnostic; compare only conformers of same species
P10_proposed_C4,0,True,62.16052394269835,geometry diagnostic; compare only conformers of same species
P10_proposed_C4,1,True,61.904587198507606,geometry diagnostic; compare only conformers of same species
P10_proposed_C4,2,True,58.20187232133797,geometry diagnostic; compare only conformers of same species
P10_proposed_C4,3,True,61.904587195115404,geometry diagnostic; compare only conformers of same species
P10_proposed_C6,0,True,87.36598396447897,geometry diagnostic; compare only conformers of same species
P10_proposed_C6,1,True,91.40622772946097,geometry diagnostic; compare only conformers of same species
P10_proposed_C6,2,True,90.16711562631357,geometry diagnostic; compare only conformers of same species
P10_proposed_C6,3,True,89.8345838348693,geometry diagnostic; compare only conformers of same species
P11_substrate,0,True,6.06703613399394,geometry diagnostic; compare only conformers of same species
P11_substrate,1,True,5.069921117431564,geometry diagnostic; compare only conformers of same species
P11_proposed_C2,0,True,63.333002750977684,geometry diagnostic; compare only conformers of same species
P11_proposed_C2,1,True,59.53998782983046,geometry diagnostic; compare only conformers of same species
P11_proposed_C2,2,True,68.6100933316547,geometry diagnostic; compare only conformers of same species
P11_proposed_C2,3,True,68.17546066301435,geometry diagnostic; compare only conformers of same species
P11_proposed_C4,0,True,38.01293701838962,geometry diagnostic; compare only conformers of same species
P11_proposed_C4,1,True,35.41667506223618,geometry diagnostic; compare only conformers of same species
P11_proposed_C4,2,True,38.83535767333427,geometry diagnostic; compare only conformers of same species
P11_proposed_C4,3,True,38.30133427266635,geometry diagnostic; compare only conformers of same species
P11_proposed_C6,0,True,70.1549968422893,geometry diagnostic; compare only conformers of same species
P11_proposed_C6,1,True,65.60512572413595,geometry diagnostic; compare only conformers of same species
P11_proposed_C6,2,True,75.76888326936623,geometry diagnostic; compare only conformers of same species
P11_proposed_C6,3,False,65.60856795526871,geometry diagnostic; compare only conformers of same species
P12_substrate,0,True,45.256406017580346,geometry diagnostic; compare only conformers of same species
P12_substrate,1,True,45.256406092078194,geometry diagnostic; compare only conformers of same species
P12_substrate,2,True,45.25640599940142,geometry diagnostic; compare only conformers of same species
P12_proposed_C2,0,True,113.07891200703664,geometry diagnostic; compare only conformers of same species
P12_proposed_C2,1,True,113.09853866776069,geometry diagnostic; compare only conformers of same species
P12_proposed_C2,2,True,113.07891555128617,geometry diagnostic; compare only conformers of same species
P12_proposed_C2,3,True,113.0789117821521,geometry diagnostic; compare only conformers of same species
P12_proposed_C4,0,True,87.90531321661399,geometry diagnostic; compare only conformers of same species
P12_proposed_C4,1,True,87.75431406731393,geometry diagnostic; compare only conformers of same species
P12_proposed_C4,2,True,83.64675960202746,geometry diagnostic; compare only conformers of same species
P12_proposed_C6,0,True,105.56327650959186,geometry diagnostic; compare only conformers of same species
P12_proposed_C6,1,True,105.56327655675379,geometry diagnostic; compare only conformers of same species
P12_proposed_C6,2,True,110.69636588164305,geometry diagnostic; compare only conformers of same species
