log10_j_ma_cm2,achiral_eta_v,conditional_chiral_eta_v
0.22,0.3833502049,0.383350204897
0.24,0.385731262074,0.38573126207
0.26,0.388112319247,0.388112319244
0.28,0.39049337642,0.390493376417
0.3,0.392874433593,0.39287443359
0.32,0.395255490767,0.395255490763
0.34,0.39763654794,0.397636547937
0.36,0.400017605113,0.40001760511
0.38,0.402398662287,0.402398662283
0.4,0.40477971946,0.404779719457
0.42,0.407160776633,0.40716077663
0.44,0.409541833806,0.409541833803
0.46,0.41192289098,0.411922890977
0.48,0.414303948153,0.41430394815
0.5,0.416685005326,0.416685005323
0.52,0.4190660625,0.419066062496
0.54,0.421447119673,0.42144711967
0.56,0.423828176846,0.423828176843
0.58,0.426209234019,0.426209234016
0.6,0.428590291193,0.42859029119
0.62,0.430971348366,0.430971348363
0.64,0.433352405539,0.433352405536
0.66,0.435733462713,0.435733462709
0.68,0.438114519886,0.438114519883
0.7,0.440495577059,0.440495577056
0.72,0.442876634233,0.442876634229
0.74,0.445257691406,0.445257691403
0.76,0.447638748579,0.447638748576
0.78,0.450019805752,0.450019805749
0.8,0.452400862926,0.452400862923
0.82,0.454781920099,0.454781920096
0.84,0.457162977272,0.457162977269
0.86,0.459544034446,0.459544034442
0.88,0.461925091619,0.461925091616
0.9,0.464306148792,0.464306148789
0.92,0.466687205965,0.466687205962
0.94,0.469068263139,0.469068263136
0.96,0.471449320312,0.471449320309
0.98,0.473830377485,0.473830377482
1,0.476211434659,0.476211434655
1.02,0.478592491832,0.478592491829
1.04,0.480973549005,0.480973549002
1.06,0.483354606179,0.483354606175
1.08,0.485735663352,0.485735663349
1.1,0.488116720525,0.488116720522
1.12,0.490497777698,0.490497777695
1.14,0.492878834872,0.492878834868
1.16,0.495259892045,0.495259892042
1.18,0.497640949218,0.497640949215
1.2,0.500022006392,0.500022006388
1.22,0.502403063565,0.502403063562
1.24,0.504784120738,0.504784120735
1.26,0.507165177911,0.507165177908
1.28,0.509546235085,0.509546235082
1.3,0.511927292258,0.511927292255
1.32,0.514308349431,0.514308349428
1.34,0.516689406605,0.516689406601
1.36,0.519070463778,0.519070463775
1.38,0.521451520951,0.521451520948
1.4,0.523832578125,0.523832578121
1.42,0.526213635298,0.526213635295
1.44,0.528594692471,0.528594692468
1.46,0.530975749644,0.530975749641
1.48,0.533356806818,0.533356806814
1.5,0.535737863991,0.535737863988
1.52,0.538118921164,0.538118921161
1.54,0.540499978338,0.540499978334
1.56,0.542881035511,0.542881035508
1.58,0.545262092684,0.545262092681
1.6,0.547643149857,0.547643149854
1.62,0.550024207031,0.550024207028
1.64,0.552405264204,0.552405264201
1.66,0.554786321377,0.554786321374
1.68,0.557167378551,0.557167378547
1.7,0.559548435724,0.559548435721
1.72,0.561929492897,0.561929492894
1.74,0.56431055007,0.564310550067
1.76,0.566691607244,0.566691607241
1.78,0.569072664417,0.569072664414
1.8,0.57145372159,0.571453721587
1.82,0.573834778764,0.57383477876
1.84,0.576215835937,0.576215835934
1.86,0.57859689311,0.578596893107
1.88,0.580977950284,0.58097795028
1.9,0.583359007457,0.583359007454
1.92,0.58574006463,0.585740064627
1.94,0.588121121803,0.5881211218
1.96,0.590502178977,0.590502178974
1.98,0.59288323615,0.592883236147
2,0.595264293323,0.59526429332
