energy_ev,D_up_up,D_up_down,D_down_up,D_down_down,L_up_up,L_up_down,L_down_up,L_down_down
-0.6,1.03747770111,0.00578685463355,0.00577571323815,1.03154471225,1.03154471225,0.00577571323815,0.00578685463355,1.03747770111
-0.595,1.05185461354,0.00884290663212,0.00882950727254,1.0430421853,1.0430421853,0.00882950727254,0.00884290663212,1.05185461354
-0.59,1.14015149254,0.0159423595505,0.0159249296566,1.1248089593,1.1248089593,0.0159249296566,0.0159423595505,1.14015149254
-0.585,1.45214904349,0.0328937969322,0.0328706846508,1.42176766901,1.42176766901,0.0328706846508,0.0328937969322,1.45214904349
-0.58,1.73826413687,0.0431983415525,0.0431819499174,1.7001809605,1.7001809605,0.0431819499174,0.0431983415526,1.73826413687
-0.575,1.32972133655,0.0224263353553,0.0224229258848,1.31092742454,1.31092742454,0.0224229258848,0.0224263353553,1.32972133655
-0.57,1.04395923315,0.010788272291,0.0107878684384,1.03538121944,1.03538121944,0.0107878684384,0.010788272291,1.04395923315
-0.565,0.911854669499,0.00631442101424,0.00631418956073,0.907085243207,0.907085243207,0.00631418956073,0.00631442101424,0.911854669499
-0.56,0.846121335249,0.0044171805928,0.00441660332795,0.842936829102,0.842936829102,0.00441660332795,0.0044171805928,0.846121335249
-0.555,0.814614661066,0.00357911549271,0.00357810896581,0.812132270833,0.812132270833,0.00357810896581,0.00357911549271,0.814614661066
-0.55,0.80633319042,0.00329120955831,0.00328976693334,0.804116015526,0.804116015526,0.00328976693334,0.00329120955831,0.80633319042
-0.545,0.818520022211,0.00339149245058,0.00338961586352,0.816280612135,0.816280612135,0.00338961586352,0.00339149245058,0.818520022211
-0.54,0.853322257261,0.00388504388778,0.00388274714275,0.850790822809,0.850790822809,0.00388274714275,0.00388504388778,0.853322257261
-0.535,0.918196486302,0.00492059300999,0.00491795141963,0.91502163017,0.91502163017,0.00491795141963,0.00492059300999,0.918196486302
-0.53,1.02884134767,0.00684933403066,0.00684663403971,1.02446395905,1.02446395905,0.00684663403971,0.00684933403066,1.02884134767
-0.525,1.21218344737,0.0103023700971,0.0103005125749,1.20567598374,1.20567598374,0.0103005125749,0.0103023700971,1.21218344737
-0.52,1.4868782408,0.0157802964657,0.0157815773202,1.47706424434,1.47706424434,0.0157815773202,0.0157802964657,1.4868782408
-0.515,1.75225350258,0.0211233602347,0.0211310688534,1.73937911872,1.73937911872,0.0211310688534,0.0211233602347,1.75225350258
-0.51,1.77038546531,0.020856449,0.0208699433733,1.75798939784,1.75798939784,0.0208699433733,0.020856449,1.77038546531
-0.505,1.59994194016,0.0160960979851,0.0161106802681,1.59065797507,1.59065797507,0.0161106802681,0.0160960979851,1.59994194016
-0.5,1.44790958847,0.0116220649909,0.0116351190709,1.44143329008,1.44143329008,0.0116351190709,0.0116220649909,1.44790958847
-0.495,1.35885996933,0.00862745453317,0.00863852706268,1.3542328499,1.3542328499,0.00863852706268,0.00862745453317,1.35885996933
-0.49,1.3108761459,0.00674122570687,0.00675049363445,1.30740613994,1.30740613994,0.00675049363445,0.00674122570687,1.3108761459
-0.485,1.28227414366,0.00554567385967,0.00555338531925,1.27953846603,1.27953846603,0.00555338531925,0.00554567385967,1.28227414366
-0.48,1.26075273781,0.00478582053532,0.00479218646185,1.25848978173,1.25848978173,0.00479218646185,0.00478582053532,1.26075273781
-0.475,1.24162068808,0.00432415537007,0.00432935131061,1.23965654736,1.23965654736,0.00432935131061,0.00432415537007,1.24162068808
-0.47,1.22563197585,0.0040930217186,0.00409720581191,1.22383858673,1.22383858673,0.00409720581191,0.0040930217186,1.22563197585
-0.465,1.21741472601,0.0040681019742,0.0040714310505,1.21568533426,1.21568533426,0.0040714310505,0.0040681019742,1.21741472601
-0.46,1.22448491426,0.00425614728821,0.00425879390253,1.22271785252,1.22271785252,0.00425879390253,0.00425614728821,1.22448491426
-0.455,1.2566779879,0.00468855017646,0.00469073030618,1.25476487535,1.25476487535,0.00469073030618,0.00468855017646,1.2566779879
-0.45,1.32489362587,0.00540750103155,0.00540952420685,1.32271438524,1.32271438524,0.00540952420685,0.00540750103155,1.32489362587
-0.445,1.43537263593,0.0064136500407,0.00641599075904,1.43281252048,1.43281252048,0.00641599075904,0.0064136500407,1.43537263593
-0.44,1.57253106258,0.00752798163274,0.00753129935778,1.56955300361,1.56955300361,0.00753129935778,0.00752798163274,1.57253106258
-0.435,1.67689408509,0.00824592046384,0.00825081622422,1.67366578447,1.67366578447,0.00825081622422,0.00824592046384,1.67689408509
-0.43,1.6740121794,0.00802500544934,0.00803149459352,1.67091203461,1.67091203461,0.00803149459352,0.00802500544934,1.6740121794
-0.425,1.56398956456,0.00696788637673,0.00697531520651,1.56134384237,1.56134384237,0.00697531520651,0.00696788637673,1.56398956456
-0.42,1.41778244023,0.0056804840551,0.0056881309177,1.41567169758,1.41567169758,0.0056881309177,0.0056804840551,1.41778244023
-0.415,1.29161327285,0.00458256833768,0.00459003538243,1.28995434393,1.28995434393,0.00459003538243,0.00458256833768,1.29161327285
-0.41,1.20305246804,0.00377541862635,0.00378258669323,1.20172659319,1.20172659319,0.00378258669323,0.00377541862635,1.20305246804
-0.405,1.1504212487,0.0032208145401,0.00322770165188,1.14932814948,1.14932814948,0.00322770165188,0.0032208145401,1.1504212487
-0.4,1.12758950453,0.00285752168191,0.00286419433512,1.1266552638,1.1266552638,0.00286419433512,0.00285752168191,1.12758950453
-0.395,1.12907829441,0.00263688086363,0.0026434137048,1.12824971411,1.12824971411,0.0026434137048,0.00263688086363,1.12907829441
-0.39,1.15095724701,0.00252705889373,0.00253351794068,1.15019494477,1.15019494477,0.00253351794068,0.00252705889373,1.15095724701
-0.385,1.19058174982,0.0025099197257,0.00251635446992,1.18985472666,1.18985472666,0.00251635446992,0.0025099197257,1.19058174982
-0.38,1.24617913784,0.0025774911144,0.00258392898768,1.24546084902,1.24546084902,0.00258392898768,0.0025774911144,1.24617913784
-0.375,1.31654464831,0.00272916338589,0.00273560420458,1.31581017994,1.31581017994,0.00273560420458,0.00272916338589,1.31654464831
-0.37,1.40086314612,0.00296896103233,0.00297537122976,1.40008730928,1.40008730928,0.00297537122976,0.00296896103233,1.40086314612
-0.365,1.49847970931,0.00330120529419,0.00330751342723,1.49763636346,1.49763636346,0.00330751342723,0.00330120529419,1.49847970931
-0.36,1.60807249199,0.00372156867137,0.00372766566383,1.60713625532,1.60713625532,0.00372766566383,0.00372156867137,1.60807249199
-0.355,1.72517238549,0.00419970858593,0.00420545901318,1.72412497162,1.72412497162,0.00420545901318,0.00419970858593,1.72517238549
-0.35,1.83729993067,0.0046547507942,0.00466002405693,1.83614317176,1.83614317176,0.00466002405693,0.0046547507942,1.83729993067
-0.345,1.91978421944,0.00494643334186,0.00495115742267,1.91855606101,1.91855606101,0.00495115742267,0.00494643334186,1.91978421944
-0.34,1.9422406345,0.00492994206287,0.00493415372465,1.94101765604,1.94101765604,0.00493415372465,0.00492994206287,1.9422406345
-0.335,1.8901416336,0.00457016148513,0.00457399837348,1.88901177443,1.88901177443,0.00457399837348,0.00457016148513,1.8901416336
-0.33,1.77947001228,0.00398493236921,0.00398855846757,1.77849267894,1.77849267894,0.00398855846757,0.00398493236921,1.77947001228
-0.325,1.64348751803,0.00334700564541,0.00335054211385,1.64267805328,1.64267805328,0.00335054211385,0.00334700564541,1.64348751803
-0.32,1.51044431422,0.00277534533615,0.00277885666742,1.50978695792,1.50978695792,0.00277885666742,0.00277534533615,1.51044431422
-0.315,1.39530324496,0.00231436148768,0.00231787599342,1.3947702529,1.3947702529,0.00231787599342,0.00231436148768,1.39530324496
-0.31,1.30298688032,0.00196344047394,0.00196697243335,1.30255038903,1.30255038903,0.00196697243335,0.00196344047394,1.30298688032
-0.305,1.23351122226,0.00170552325523,0.00170908568666,1.23314775468,1.23314775468,0.00170908568666,0.00170552325523,1.23351122226
-0.3,1.18525722234,0.00152176494907,0.00152537475603,1.18494832714,1.18494832714,0.00152537475603,0.00152176494907,1.18525722234
-0.295,1.156494617,0.00139671717591,0.00140039632703,1.15622610186,1.15622610186,0.00140039632703,0.00139671717591,1.156494617
-0.29,1.14596036599,0.00131931103751,0.00132308604352,1.14572124063,1.14572124063,0.00132308604352,0.00131931103751,1.14596036599
-0.285,1.1530228029,0.0012824471148,0.00128634768637,1.15280431193,1.15280431193,0.00128634768637,0.0012824471148,1.1530228029
-0.28,1.17767399037,0.00128229865873,0.00128635555891,1.1774688134,1.1774688134,0.00128635555891,0.00128229865873,1.17767399037
-0.275,1.2204217901,0.00131762710619,0.00132186864132,1.22022338948,1.22022338948,0.00132186864132,0.00131762710619,1.2204217901
-0.27,1.28204927105,0.00138903601717,0.00139348215403,1.28185135759,1.28185135759,0.00139348215403,0.00138903601717,1.28204927105
-0.265,1.36312214253,0.00149784521706,0.00150249801253,1.3629182674,1.3629182674,0.00150249801253,0.00149784521706,1.36312214253
-0.26,1.46304518025,0.0016440365428,0.00164886590096,1.46282854657,1.46282854657,0.00164886590096,0.0016440365428,1.46304518025
-0.255,1.5784754004,0.00182264154374,0.00182756751022,1.57823912465,1.57823912465,0.00182756751022,0.00182264154374,1.5784754004
-0.25,1.70124596347,0.00201861237483,0.00202349100129,1.70098413821,1.70098413821,0.00202349100129,0.00201861237483,1.70124596347
-0.245,1.81698466545,0.00220263165703,0.00220726030768,1.81669442989,1.81669442989,0.00220726030768,0.00220263165703,1.81698466545
-0.24,1.90691791501,0.00233391663513,0.00233807670943,1.90660195315,1.90660195315,0.00233807670943,0.00233391663513,1.90691791501
-0.235,1.95448939446,0.00237506536213,0.00237859819962,1.95415710259,1.95415710259,0.00237859819962,0.00237506536213,1.95448939446
-0.23,1.95338451157,0.00231211305946,0.00231498467274,1.95305013879,1.95305013879,0.00231498467274,0.00231211305946,1.95338451157
-0.225,1.90983597513,0.00216195207877,0.00216425679959,1.90951437336,1.90951437336,0.00216425679959,0.00216195207877,1.90983597513
-0.22,1.83738221858,0.00196018985728,0.00196209515439,1.83708494325,1.83708494325,0.00196209515439,0.00196018985728,1.83738221858
-0.215,1.74990793631,0.00174269004972,0.00174436985287,1.74964162706,1.74964162706,0.00174436985287,0.00174269004972,1.74990793631
-0.21,1.65806481938,0.00153490439242,0.00153649806165,1.65783164038,1.65783164038,0.00153649806165,0.00153490439242,1.65806481938
-0.205,1.56901894246,0.00135060627972,0.00135220774085,1.56881791526,1.56881791526,0.00135220774085,0.00135060627972,1.56901894246
-0.2,1.48741243928,0.00119502873339,0.00119669339212,1.48724079308,1.48724079308,0.00119669339212,0.00119502873339,1.48741243928
