strategy,assumed_constant_life_h,extra_life_fraction,electricity_saving_USD,maximum_layer_replacement_USD
rule,225.0,0.00888888888888889,0.011599918776257212,1.3049908623289361
mpc,225.0,0.006111111111111095,9.798951639083953e-05,0.016034648136682875
rule,230.0,0.008695652173913021,0.011595079149081089,1.3334341021443288
mpc,230.0,0.005978260869565183,9.29216312929304e-05,0.015543254688999357
rule,235.0,0.008510638297872353,0.01159044204311177,1.361876940065631
mpc,235.0,0.005851063829787256,8.806350363610438e-05,0.015050853348715964
rule,240.0,0.008333333333333331,0.011585995008855932,1.390319401062712
mpc,240.0,0.005729166666666674,8.340237813375673e-05,0.014557506001528428
rule,245.0,0.008163265306122464,0.011581726596564534,1.418761508079153
mpc,245.0,0.0056122448979591955,7.892651288521346e-05,0.014063269568638006
rule,250.0,0.008000000000000007,0.011577626257869289,1.4472032822336598
mpc,250.0,0.005500000000000033,7.462508072075824e-05,0.013568196494683236
