strategy,time_h,price_USD_kWh,availability_load,load,storage_charge_h,temperature_C,purity_assumed,evidence
rule,31,0.107128416386305,1.25,0.75,-0.75,29.87077857882513,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,32,0.1285944637501973,1.25,0.75,-1.0,29.459122863060106,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,33,0.14624582326549398,1.25,0.75,-1.25,29.129798290448086,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,34,0.13466613597235308,1.0,0.75,-1.5,28.86633863235847,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,35,0.13454438501937988,1.0,0.75,-1.75,28.655570905886776,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,36,0.15431084882003973,1.0,0.75,-2.0,28.486956724709422,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,37,0.14938539714885044,1.25,1.0,-2.0,28.789565379767538,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,38,0.12879239537655243,1.25,1.0,-2.0,29.03165230381403,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,39,0.13372950626367228,1.25,1.0,-2.0,29.225321843051226,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,40,0.13942188261552266,1.25,1.25,-1.75,29.94275747444098,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,41,0.11535948321905558,1.25,1.25,-1.5,30.516705979552786,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,42,0.09954217140455666,1.25,1.25,-1.25,30.97586478364223,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,43,0.10877949138921941,1.25,1.25,-1.0,31.343191826913785,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,44,0.09985566101750665,1.25,1.25,-0.75,31.63705346153103,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,45,0.07450189861182159,1.25,1.25,-0.5,31.872142769224823,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,46,0.07658780766802448,1.25,1.25,-0.25,32.06021421537986,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
rule,47,0.08816938655432485,1.25,1.25,0.0,32.210671372303885,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,0,0.075,1.0,0.75,-0.25,25.5625,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,1,0.08795528975333915,1.0,0.75,-0.5,26.0125,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,2,0.0750336998522439,1.0,0.75,-0.75,26.3725,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,3,0.0753310765196864,1.25,0.75,-1.0,26.6605,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,4,0.1010815987667123,1.25,0.75,-1.25,26.8909,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,5,0.10746511474540484,1.25,0.75,-1.5,27.075219999999998,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,6,0.09883643452733964,1.25,0.75,-1.75,27.222676,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,7,0.11695317473098704,1.25,0.75,-2.0,27.3406408,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,8,0.13949687204444225,1.25,1.0,-2.0,27.87251264,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,9,0.1321061356133467,1.25,1.0,-2.0,28.298010112,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,10,0.12935989973496112,1.25,1.0,-2.0,28.6384080896,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,11,0.15078416226963395,1.25,1.0,-2.0,28.91072647168,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,12,0.15318974451829415,1.25,1.0,-2.0,29.128581177344,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,13,0.13358932790124747,1.25,1.0,-2.0,29.3028649418752,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,14,0.1361652305160811,1.25,1.0,-2.0,29.44229195350016,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,15,0.1466075722991358,1.25,1.0,-2.0,29.55383356280013,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,16,0.1269521970315626,1.25,1.0,-2.0,29.643066850240103,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,17,0.10741663978110849,1.0,1.0,-2.0,29.714453480192084,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,18,0.1151554567336389,1.0,1.0,-2.0,29.771562784153666,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,19,0.1105429457753148,1.0,1.0,-2.0,29.817250227322933,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,20,0.08354443989226101,1.25,1.25,-1.75,30.416300181858347,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,21,0.07919406065233002,1.25,1.25,-1.5,30.895540145486677,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,22,0.09104197602496991,1.25,1.25,-1.25,31.278932116389342,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,23,0.07775658802918356,1.25,1.0,-1.25,31.023145693111474,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,24,0.06302814181676401,1.25,1.0,-1.25,30.81851655448918,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,25,0.07936679777967949,1.25,1.0,-1.25,30.65481324359134,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,26,0.09040469102737457,1.25,1.0,-1.25,30.523850594873075,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,27,0.07783607404731868,1.25,1.0,-1.25,30.41908047589846,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,28,0.0847191856088978,1.25,1.0,-1.25,30.33526438071877,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,29,0.11143599430566131,1.25,0.75,-1.5,29.830711504575014,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,30,0.11362726238688471,1.25,0.75,-1.75,29.42706920366001,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,31,0.107128416386305,1.25,0.75,-2.0,29.104155362928008,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,32,0.1285944637501973,1.25,1.0,-2.0,29.283324290342406,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,33,0.14624582326549398,1.25,1.0,-2.0,29.426659432273926,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,34,0.13466613597235308,1.0,1.0,-2.0,29.54132754581914,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,35,0.13454438501937988,1.0,1.0,-2.0,29.63306203665531,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,36,0.15431084882003973,1.0,1.0,-2.0,29.706449629324247,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,37,0.14938539714885044,1.25,1.0,-2.0,29.765159703459396,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,38,0.12879239537655243,1.25,1.0,-2.0,29.812127762767517,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,39,0.13372950626367228,1.25,1.0,-2.0,29.849702210214012,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,40,0.13942188261552266,1.25,1.25,-1.75,30.44226176817121,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,41,0.11535948321905558,1.25,1.25,-1.5,30.91630941453697,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,42,0.09954217140455666,1.25,1.25,-1.25,31.295547531629573,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,43,0.10877949138921941,1.25,1.25,-1.0,31.59893802530366,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,44,0.09985566101750665,1.25,1.25,-0.75,31.841650420242928,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,45,0.07450189861182159,1.25,1.25,-0.5,32.03582033619434,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,46,0.07658780766802448,1.25,1.25,-0.25,32.191156268955474,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
mpc,47,0.08816938655432485,1.25,1.25,0.0,32.31542501516438,0.998,MODEL_INFERENCE_SYNTHETIC_SCENARIO
