draw,strategy,k_total_per_h,layer_USD,electricity_scale,fixed_USD_kg,emission_factor_kg_kWh,window_feasible,cost_reduction_fraction,predicted_life_h,electricity_only_kgCO2e_per_tCl2
61,mpc,0.005598815970402924,0.30464743840323677,0.6520848215969233,0.11787993952293564,0.22386501862210537,True,-0.007646074957347482,61.93134866620582,587.7651284022257
62,rule,0.0029296784923657708,0.28390826841159184,0.7253541966583448,0.1757657560703202,0.29024123047570805,True,0.004679223623110906,116.87560497625876,752.8227027118616
62,mpc,0.0029296784923657708,0.28390826841159184,0.7253541966583448,0.1757657560703202,0.29024123047570805,True,-0.003607883480449825,118.35504301393293,752.1951610502532
63,rule,0.00581055536403869,0.48114542112292563,0.9573719871091804,0.14075087444090245,0.2715273514928225,True,-0.003471277895083613,58.928609182580566,714.4053227856583
63,mpc,0.00581055536403869,0.48114542112292563,0.9573719871091804,0.14075087444090245,0.2715273514928225,True,-0.008729651758227597,59.6745409443854,713.6017982639431
64,rule,0.004660220041357005,0.11189802738647223,0.7990709705915918,0.06431929061324325,0.6347975941534465,True,0.010724374828905758,73.47463062741511,1661.0065469900487
64,mpc,0.004660220041357005,0.11189802738647223,0.7990709705915918,0.06431929061324325,0.6347975941534465,True,-0.002553449496745408,74.40468924295202,1659.3196581222837
65,rule,0.004369590791657326,0.13473025446445763,1.27103152602488,0.06291407960470338,0.6103108475985629,True,0.013500714377058354,78.36155889813024,1594.6511221736212
65,mpc,0.004369590791657326,0.13473025446445763,1.27103152602488,0.06291407960470338,0.6103108475985629,True,-0.001868198057943582,79.35347736519519,1593.077907096523
66,rule,0.00493847040564446,0.10687572580771498,0.8511275395937958,0.14908724613005775,0.21436629172046942,True,0.008996228079420687,69.33481788001109,561.6700937883048
66,mpc,0.00493847040564446,0.10687572580771498,0.8511275395937958,0.14908724613005775,0.21436629172046942,True,-0.0019179045483534995,70.21247380254287,561.0843763068473
67,rule,0.0045726514397861516,0.22215776109483237,1.0039854105519244,0.09847102586974224,0.24752123634602716,True,0.007359185822616965,74.88170718676,647.384043449857
67,mpc,0.0045726514397861516,0.22215776109483237,1.0039854105519244,0.09847102586974224,0.24752123634602716,True,-0.0039356114049349245,75.82957689798482,646.7321924568874
68,rule,0.005182216663556238,0.12686140836306475,0.7729260257627715,0.06555089679397146,0.4528774648144499,True,0.008971295880157437,66.0736453937087,1187.9995137281473
68,mpc,0.005182216663556238,0.12686140836306475,0.7729260257627715,0.06555089679397146,0.4528774648144499,True,-0.003292748460840045,66.91002065185694,1186.7328335556028
69,rule,0.0043997988551398234,0.17403840180437827,0.670676116224516,0.16543274069520386,0.20036194262369458,True,0.004826868099625514,77.82354545167078,523.5940931631429
