time_s,device_j,wire_j,source_resistor_j,supplied_j,capacitor_change_j,BE_numerical_loss_j,kcl_residual_a
1.4735,1.18043081478e-10,2.12009047539e-10,1.30478905075e-10,4.60530390748e-10,-7.56683114032e-16,1.13338148839e-16,8.27551189467e-18
1.474,1.15124622217e-10,2.02726963656e-10,1.27802749088e-10,4.45653878305e-10,-7.04925132567e-16,2.48269214795e-16,1.06590626082e-17
1.4745,1.15450600598e-10,1.99942512316e-10,1.29551339894e-10,4.44944724324e-10,-1.68672080141e-16,4.40188396925e-16,1.36152075942e-17
1.475,1.2271682979e-10,2.12056522329e-10,1.40419076721e-10,4.75194174816e-10,1.04406418759e-15,7.01911355798e-16,1.70660198213e-17
1.4755,1.42037617542e-10,2.50663943651e-10,1.6689990094e-10,5.59605705639e-10,3.19059077292e-15,1.05291566405e-15,2.0506667653e-17
1.476,1.80429842891e-10,3.3161801269e-10,2.17884979297e-10,7.29940966881e-10,6.61355347815e-15,1.51845148811e-15,2.23955511254e-17
1.4765,2.47380813044e-10,4.76221184678e-10,3.05349173081e-10,1.02896504897e-09,1.17510080122e-14,2.12716189838e-15,6.72044410681e-17
1.477,3.55401188821e-10,7.12258969582e-10,4.44986272697e-10,1.51266846005e-09,1.91235283638e-14,2.90543200479e-15,2.72402407705e-16
1.4775,5.20346948233e-10,1.07428246087e-09,6.56495674902e-10,2.25115822298e-09,2.92733722876e-14,3.86564025871e-15,9.78900730549e-16
1.478,7.61086655714e-10,1.60204246941e-09,9.62954070597e-10,3.32613079631e-09,4.26155250162e-14,4.9852348019e-15,3.12603099602e-15
1.4785,1.09772706028e-09,2.33535707604e-09,1.38829500587e-09,4.82144446774e-09,5.91506588436e-14,6.17555051061e-15,8.76955233149e-15
1.479,1.54719969986e-09,3.30324198097e-09,1.95151412515e-09,6.80204105353e-09,7.80032600436e-14,7.2464394528e-15,2.10578726494e-14
1.4795,2.11486767375e-09,4.50565715905e-09,2.65624809846e-09,9.27687764396e-09,9.68292281175e-14,7.88931572655e-15,4.1431254586e-14
1.48,2.78168413789e-09,5.88920246075e-09,3.47569539341e-09,1.21467010373e-08,1.11333017952e-13,7.72523210301e-15,6.23546082389e-14
1.4805,3.48967167408e-09,7.32468838219e-09,4.33673534007e-09,1.515121727e-08,1.15425057287e-13,6.47211091212e-15,6.42658059473e-14
1.481,4.13458919162e-09,8.60310319302e-09,5.11356322455e-09,1.78513625072e-08,1.02706451654e-13,4.2267356152e-15,7.56052460763e-14
1.4815,4.579896071e-09,9.46942562141e-09,5.64578204738e-09,1.96951749496e-08,6.95092217472e-14,1.70148884884e-15,7.35875797147e-15
1.482,4.70043769433e-09,9.69969434037e-09,5.78858267896e-09,2.01887331832e-08,1.83570605578e-14,1.12523225705e-16,3.31833627416e-17
1.4825,4.44108537763e-09,9.19454318361e-09,5.47798315137e-09,1.9113571502e-08,-4.07335568928e-14,5.55308361234e-16,8.8346600272e-14
1.483,3.85154112129e-09,8.03539822824e-09,4.76973549522e-09,1.66565847747e-08,-9.32599490206e-14,3.20847934776e-15,5.2021514402e-14
1.4835,3.0671626489e-09,6.46137906969e-09,3.81964439335e-09,1.33480665873e-08,-1.26584169207e-13,7.07330125832e-15,9.31998754431e-14
1.484,2.24838629194e-09,4.77670395066e-09,2.81711223935e-09,9.84207756023e-09,-1.35489972136e-13,1.05693466032e-14,7.2424806766e-15
1.4845,1.52191066953e-09,3.24473601184e-09,1.91713354127e-09,6.68366945357e-09,-1.23250403131e-13,1.24815030606e-14,1.68934283879e-15
1.485,9.54467739786e-10,2.0236906875e-09,1.20613245637e-09,4.18420507245e-09,-9.82954510287e-14,1.24869930385e-14,5.89184124124e-14
1.4855,5.58479366269e-10,1.16006736104e-09,7.04606913746e-10,2.42309507259e-09,-6.95891340525e-14,1.10213884353e-14,2.07197049096e-14
1.486,3.12250712965e-10,6.20282807252e-10,3.89252721854e-10,1.32175149433e-09,-4.35640310732e-14,8.81643258801e-15,5.06718148344e-15
1.4865,1.7989860073e-10,3.31845214668e-10,2.17121322446e-10,7.28848299385e-10,-2.33510902488e-14,6.51265244133e-15,8.37760477581e-16
1.487,1.24848179291e-10,2.15538590343e-10,1.43028899052e-10,4.83410672342e-10,-9.49637380955e-15,4.50003421553e-15,1.1519732786e-16
1.4875,1.16599925576e-10,2.03395488732e-10,1.28754185854e-10,4.4875143198e-10,-1.10024963937e-15,2.93207049329e-15,9.1936956095e-17
1.488,1.32756855116e-10,2.45036385997e-10,1.46041193662e-10,5.23839489929e-10,3.24748329777e-15,1.80767574388e-15,1.35142412669e-16
1.4885,1.58471936026e-10,3.07093696485e-10,1.76093162326e-10,6.41664758678e-10,4.91151447173e-15,1.05233335273e-15,1.66745211931e-16
1.489,1.84848685877e-10,3.69679524583e-10,2.07606495697e-10,7.621402529e-10,4.97419242599e-15,5.72560240511e-16,1.80177460408e-16
1.4895,2.07162360678e-10,4.2233009098e-10,2.34539366533e-10,8.64036294756e-10,4.19265158772e-15,2.83926853797e-16,1.75113897449e-16
1.49,2.23344989073e-10,4.60540349208e-10,2.54203637373e-10,9.38092142704e-10,3.04607804283e-15,1.20986285304e-16,1.68053030801e-16
1.4905,2.32863538772e-10,4.83221334786e-10,2.65854525963e-10,9.81941246722e-10,1.80949030447e-15,3.77253025677e-17,1.70145202181e-16
1.491,2.35977505435e-10,4.91023771477e-10,2.69756920672e-10,9.96758825e-10,6.23253440692e-16,4.17654057597e-18,1.60536460427e-16
1.4915,2.33294417004e-10,4.85341134051e-10,2.66626356686e-10,9.85261457674e-10,-4.5235793874e-16,2.30331726701e-18,1.43453499947e-16
1.492,2.2553749314e-10,4.6779564515e-10,2.57337018303e-10,9.50668780651e-10,-1.3984315439e-15,2.24995797595e-17,1.23566860411e-16
1.4925,2.13459126793e-10,4.40050323605e-10,2.42812598305e-10,8.96319898604e-10,-2.21120373044e-15,6.11108725999e-17,9.84353928663e-17
1.493,1.97854611615e-10,4.03844643904e-10,2.24042991783e-10,8.25739482175e-10,-2.88408845319e-15,1.18965638542e-16,7.31650119179e-17
1.4935,1.79652803207e-10,3.61200269656e-10,2.02197669955e-10,7.43047549607e-10,-3.39398268728e-15,2.00773904975e-16,4.97547153217e-17
1.494,1.60076623252e-10,3.14786518842e-10,1.78828035227e-10,6.5368780421e-10,-3.68836464218e-15,3.15255979554e-16,2.99078863346e-17
1.4945,1.40882632171e-10,2.68470350805e-10,1.56170916608e-10,5.65520705001e-10,-3.67048754237e-15,4.75905113324e-16,1.50280585502e-17
1.495,1.24706401393e-10,2.28104114593e-10,1.37585581559e-10,4.90393619627e-10,-3.18025181201e-15,7.02334845646e-16,6.56027017648e-18
1.4955,1.15550544643e-10,2.02631488767e-10,1.28169295757e-10,4.46350382652e-10,-1.96863319485e-15,1.02211906154e-15,1.02414753653e-17
1.496,1.19457872824e-10,2.05606091588e-10,1.35603701802e-10,4.60669474575e-10,3.35512642018e-16,1.47284941989e-15,1.44300532894e-17
1.4965,1.45420317497e-10,2.57190972001e-10,1.71286059282e-10,5.73903716421e-10,4.26393595658e-15,2.10370611605e-15,2.25581814513e-17
1.497,2.06533689347e-10,3.86617851546e-10,2.51742603084e-10,8.44907664691e-10,1.05458944249e-14,2.97482272437e-15,7.58145309769e-17
1.4975,3.21318640226e-10,6.34814010117e-10,4.00194203564e-10,1.35635112562e-09,2.01208865425e-14,4.15084249242e-15,4.29120443606e-16
1.498,5.14930737628e-10,1.0562995576e-09,6.47865122158e-10,2.21913517895e-09,3.40793248382e-14,5.68231307262e-15,1.99561639999e-15
1.4985,8.19559045192e-10,1.71834187562e-09,1.03405049518e-09,3.57201242157e-09,5.34409655413e-14,7.5650223435e-15,7.89433690401e-15
