delay_s,delta_weight_siemens_s,delta_weight_over_g0_tau,final_state,peak_state_change
0,0,0,0.5,0
0.001,5.41302209625e-09,0.0515525913928,0.500000001474,0.0291514117748
0.002,5.52731181005e-09,0.0526410648576,0.50000000174,0.0311850585264
0.003,5.42926840636e-09,0.0517073181558,0.500000001933,0.0326979184714
0.004,5.19369678438e-09,0.0494637788988,0.500000002051,0.0337464925378
0.005,4.90746626275e-09,0.046737773931,0.500000002112,0.0343896301082
0.006,4.60278729837e-09,0.0438360695083,0.500000002125,0.0346847758014
0.007,4.29319446224e-09,0.0408875663071,0.500000002094,0.0346858934024
0.008,3.98464180008e-09,0.0379489695245,0.50000000202,0.0344424112285
0.009,3.67969408154e-09,0.0350447055385,0.500000001905,0.0339987897204
0.01,3.37930808203e-09,0.0321838864956,0.500000001745,0.0333944653556
0.011,3.08365061145e-09,0.0293681010614,0.500000001539,0.0326640177945
0.012,2.79256561356e-09,0.0265958629862,0.500000001285,0.0318374640969
0.013,2.50570772231e-09,0.0238638830696,0.500000000979,0.0309406192383
0.014,2.22288933814e-09,0.021170374649,0.500000000616,0.0299965931383
0.015,1.96209595498e-09,0.0186866281427,0.500000000211,0.0291079566824
0.016,1.73185174098e-09,0.0164938261046,0.499999999769,0.0283213089116
0.017,1.52858860715e-09,0.0145579867348,0.499999999288,0.0276239644623
0.018,1.34916052843e-09,0.0128491478898,0.499999998764,0.0270050207716
0.019,1.19076942643e-09,0.0113406612041,0.499999998192,0.02645506468
0.02,1.05096227635e-09,0.0100091645366,0.499999997567,0.0259659359418
0.021,9.27565024224e-10,0.00883395261165,0.499999996883,0.0255305349521
0.022,8.18632479065e-10,0.00779649980062,0.499999996135,0.025142665143
0.023,7.22494331614e-10,0.00688089839633,0.499999995316,0.0247969028041
0.024,6.3764193249e-10,0.00607278030942,0.499999994418,0.0244884887816
0.025,5.6274780932e-10,0.00535950294591,0.499999993433,0.0242132377742
0.026,4.96644323592e-10,0.00472994593897,0.499999992351,0.0239674618958
0.027,4.38303755608e-10,0.00417432148198,0.499999991163,0.02374790589
0.028,3.86821038918e-10,0.00368400989446,0.499999989856,0.0235516919326
0.029,3.41374103893e-10,0.00325118194184,0.499999988419,0.0233762723738
0.03,3.01271030628e-10,0.00286924791075,0.499999986838,0.0232193891015
0.031,2.65873733842e-10,0.0025321307985,0.499999985097,0.023079038458
