time_s,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24
0.254,0.0542065992654,0.0334037369869,0.0178422480177,0.0199591924123,0.00370877927351,0.0467283575208,-0.0192972427911,0.0139820775779,0.0286789409485,-0.0373347535535,0.0176120377879,-0.00928686687943,0.0223445441742,-0.0390982488779,0.00603254229463,0.0392533690453,0.00972197023932,-0.0187718336676,0.00845283998537,-0.0193580307991,0.0190631745143,-0.0385190068536,-0.027660624252,-0.0526130330296,-0.0520361633959
0.2545,0.0505720950191,0.040750934966,0.0133315496346,0.0217781965929,0.000399254593085,0.0564309215562,-0.00546518673947,0.0257445295225,0.0320226027152,-0.0476882579817,0.0307916954342,-0.022592724809,0.0152156594616,-0.0452283468259,0.0103403875972,0.0390581744914,-0.00367031949537,-0.0335495004591,0.0110895763151,-0.0197763295632,0.0225141120709,-0.0364107702597,-0.0156920121522,-0.0390429624992,-0.0614937749032
0.255,0.0462502739567,0.0494843220615,0.00796813340059,0.0239408657683,-0.00353546292723,0.0679601577374,0.0109887345549,0.0397299409817,0.0359975848569,-0.0599956535498,0.0464593258359,-0.038407816882,0.00674016134709,-0.0525165568614,0.0154624107213,0.0388260793012,-0.0195913484226,-0.05110979497,0.0142253189169,-0.0202733994415,0.0266170396035,-0.0339033416423,-0.0014544313497,-0.0229060445378,-0.0727348587009
0.2555,0.0411431944374,0.0597966377342,0.00163117791101,0.0264956348564,-0.00818344687108,0.0815674707664,0.030429866094,0.0562470756593,0.040692457933,-0.0745307320115,0.0649554105468,-0.0570838866593,-0.00327170933032,-0.0611258526422,0.0215135062696,0.038551430998,-0.0383945759829,-0.0718423219632,0.0179305608284,-0.0208602095701,0.0314636840863,-0.0309402728094,0.0153707843727,-0.00384210186749,-0.0860087064821
0.256,0.0351602621635,0.0718620194939,-0.00579057677925,0.0294869103476,-0.0136253518278,0.0974779265655,0.0531834323704,0.0755744919743,0.04618814519,-0.0915427980495,0.0865828929434,-0.0789403273288,-0.0149934302658,-0.0712053214478,0.0285991080993,0.038228629063,-0.0604013317586,-0.0961006316704,0.0222701804384,-0.0215466909838,0.0371376919596,-0.0274699111823,0.03507271404,0.0184784269266,-0.101542005226
0.2565,0.0282382742496,0.0857938940388,-0.0143737231249,0.0329446769506,-0.0199158413891,0.115833923716,0.0794523657809,0.0978926131385,0.0525390488063,-0.11119802229,0.11152896505,-0.104187420601,-0.028541857776,-0.0828557330877,0.0367904838466,0.037853136446,-0.0858230678571,-0.124118259326,0.0272884966535,-0.0223394229792,0.0436956395906,-0.0234571822681,0.0578378814004,0.0442738121116,-0.119485549034
0.257,0.0203744817563,0.101577257825,-0.0241191099305,0.0368681096723,-0.0270533359218,0.136605257291,0.109187599798,0.123174303701,0.0597424590318,-0.133484553905,0.139740901103,-0.132803584773,-0.0439132004989,-0.0960736228212,0.0460857566536,0.037423165216,-0.114636768454,-0.155873210694,0.032984757822,-0.0232378328711,0.0511354895385,-0.0189028104877,0.083638478444,0.0735216976267,-0.139828058286
0.2575,0.0116764840067,0.118969778164,-0.034891130935,0.0412010066051,-0.034935771959,0.159459141513,0.141898972542,0.151025760844,0.0676934028177,-0.158073617421,0.170748200224,-0.164356987179,-0.0608865995457,-0.110668732716,0.056351895273,0.0369422972621,-0.146404493474,-0.190890922034,0.0392773351961,-0.0242286157067,0.0593499549003,-0.0138719502094,0.112070290974,0.105775860875,-0.162269590909
0.258,0.00242660781615,0.137376464152,-0.0463386036742,0.0457999155577,-0.0433029489505,0.183597989255,0.176422091399,0.180486066634,0.0761264265861,-0.184142415185,0.20344385747,-0.197781150187,-0.0788999096245,-0.126157716414,0.0672491753614,0.0364232034762,-0.180046206203,-0.227996095077,0.0459573918474,-0.0252786714915,0.0680663557865,-0.00853139646143,0.142146781088,0.139932680806,-0.186060092055
0.2585,-0.0068506869654,0.155726198666,-0.0578117353801,0.0504015865483,-0.0516772284627,0.207604030347,0.210701070239,0.209832055865,0.0845563789882,-0.210197114746,0.23588146127,-0.231156009954,-0.0969248229539,-0.141656192083,0.0781537369825,0.0358920686161,-0.213618464029,-0.265069393136,0.0526408145652,-0.0263281154521,0.0767851989607,-0.00318780618759,0.172099907601,0.174000453962,-0.209837766063
