B_t,gradient_hz_t
0.00716284246435,4169222341.73
0.00721594654303,4217499768.67
0.00726905062171,4265301505.33
0.00732215470039,4312647409.91
0.00737525877907,4359556156.05
0.00742836285775,4406045324.71
0.00748146693643,4452131487.18
0.00753457101511,4497830280.27
0.00758767509379,4543156474.44
0.00764077917246,4588124035.81
0.00769388325114,4632746182.58
0.00774698732982,4677035436.48
0.0078000914085,4721003669.83
0.00785319548718,4764662148.61
0.00790629956586,4808021571.94
0.00795940364454,4851092108.37
0.00801250772322,4893883429.25
0.0080656118019,4936404739.45
0.00811871588058,4978664805.78
0.00817181995926,5020671983.17
0.00822492403794,5062434238.95
0.00827802811662,5103959175.31
0.0083311321953,5145254050.2
0.00838423627398,5186325796.67
0.00843734035265,5227181040.9
0.00849044443133,5267826118.99
0.00854354851001,5308267092.63
0.00859665258869,5348509763.65
0.00864975666737,5388559687.73
0.00870286074605,5428422187.12
0.00875596482473,5468102362.62
0.00880906890341,5507605104.74
0.00886217298209,5546935104.26
0.00891527706077,5586096862.04
0.00896838113945,5625094698.33
0.00902148521813,5663932761.47
0.00907458929681,5702615036.1
0.00912769337549,5741145350.88
0.00918079745417,5779527385.81
0.00923390153284,5817764679.07
0.00928700561152,5855860633.53
0.0093401096902,5893818522.89
0.00939321376888,5931641497.48
0.00944631784756,5969332589.73
0.00949942192624,6006894719.39
0.00955252600492,6044330698.44
0.0096056300836,6081643235.75
0.00965873416228,6118834941.5
0.00971183824096,6155908331.42
0.00976494231964,6192865830.7
0.00981804639832,6229709777.86
0.009871150477,6266442428.3
0.00992425455568,6303065957.72
0.00997735863436,6339582465.41
0.010030462713,6375993977.32
0.0100835667917,6412302449.02
0.0101366708704,6448509768.53
0.0101897749491,6484617758.97
0.0102428790278,6520628181.14
0.0102959831064,6556542735.95
0.0103490871851,6592363066.74
0.0104021912638,6628090761.52
0.0104552953425,6663727355.08
0.0105083994211,6699274331.02
0.0105615034998,6734733123.68
0.0106146075785,6770105120.01
0.0106677116572,6805391661.33
0.0107208157359,6840594045.02
