B_t,E0_hz,E1_hz,E2_hz,E3_hz,E4_hz,E5_hz,E6_hz,E7_hz,E8_hz,E9_hz,E10_hz,E11_hz,E12_hz,E13_hz,E14_hz,E15_hz
0.22,-3666324635.87,-3521976679.74,-3372130975.01,-3216094431.82,-3053001495.36,-2881748031.1,-2700888673.42,-2508469484.02,2558039686.19,2730982827.06,2895519772.74,3053095712.07,3204814695.82,3351542278.61,3493971624.9,3632667808.95
0.2225,-3701213697.4,-3556664883.92,-3406654234.81,-3250500574.21,-3087355057.76,-2916137666.57,-2735439078.15,-2543361645.98,2592758856,2765484953.38,2929929560.4,3087501825.81,3239281685.66,3386117983.08,3528691966.06,3667560008.4
0.225,-3736106578.63,-3591360487.8,-3441188040.26,-3284919684.44,-3121722825.06,-2950540800.13,-2769999030.84,-2578253815.7,2627487560.8,2800000569.79,2964353549.65,3121920908.36,3273759225.93,3420701095.52,3563416138.41,3702452214.38
0.2275,-3771003171.27,-3626063274.14,-3475732069.48,-3319351348.98,-3156104321.02,-2984956952.3,-2804568168.56,-2613145992.93,2662225438.07,2834529197.09,2998791264.34,3156352546.13,3308246994.61,3455291398.45,3598144033.31,3737344426.68
0.23,-3805903371.1,-3660773034.1,-3510286013.48,-3353795171.52,-3190499090.26,-3019385665.88,-2839146146.42,-2648038177.42,2696972143.36,2869070378.32,3033242249.18,3190796342.76,3342744682.56,3489888682.76,3632875546.16,3772236645.1
0.2325,-3840807077.73,-3695489566.84,-3544849575.52,-3388250772.15,-3224906697.16,-3053826504.68,-2873732636.53,-2682930368.92,2731727349.16,2903623677.51,3067706068.65,3225251918.31,3377251992.87,3524492747.33,3667610576.26,3807128869.44
0.235,-3875714194.48,-3730212679.07,-3579422470.5,-3422717786.49,-3259326724.81,-3088279052.3,-2908327326.94,-2717822567.21,2766490743.92,2938188678.52,3102182305.94,3259718908.37,3411768640.31,3559103398.66,3702349026.56,3842021099.52
0.2375,-3910624628.16,-3764942184.79,-3614004424.41,-3457195864.92,-3293758774.01,-3122742911.1,-2942929920.67,-2752714772.06,2801262031.02,2972764983.92,3136670561.91,3294196963.28,3446294350.72,3593720450.51,3737090803.59,3876913335.16
0.24,-3945538288.93,-3799677904.91,-3648595173.79,-3491684671.85,-3328202462.35,-3157217701.09,-2977540134.88,-2787606983.26,2836040927.96,3007352213.92,3171170454.26,3328685747.43,3480828860.52,3628343723.56,3771835817.21,3911805576.2
0.2425,-3980455090.19,-3834419666.92,-3683194465.24,-3526183885.05,-3362657423.36,-3191703059.03,-3012157699.98,-2822499200.62,2870827165.49,3041950005.49,3205681616.6,3363184938.54,3515371916.17,3662973045.11,3806583980.52,3946697822.48
0.245,-4015374948.38,-3869167304.62,-3717802054.94,-3560693194.95,-3397123305.69,-3226198637.46,-3046782358.91,-2857391423.93,2905620486.87,3076558011.37,3240203697.63,3397694227.02,3549923273.74,3697608248.74,3841335209.69,3981590073.83
0.2475,-4050297782.88,-3903920657.82,-3752417708.21,-3595212304.06,-3431599772.32,-3260704103.92,-3081413866.4,-2892283653.02,2940420647.16,3111175899.28,3274736360.41,3432213315.37,3584482698.42,3732249174.07,3876089423.81,4016482330.1
0.25,-4085223515.85,-3938679572.08,-3787041199.07,-3629740926.39,-3466086499.85,-3295219140.11,-3116051988.34,-2927175887.7,2975227412.5,3145803351.09,3309279281.64,3466741917.54,3619049964.13,3766895666.48,3910846544.83,4051374591.16
