n_channels,q_a,q_b,q_cat,t_jacket,conv,selectivity,ee,kg_h,sty,pmi,e_factor,ci,cost,kwh_kg,dT_channel,duty_kW
1,2.0,1.0,0.075,10.0,0.13889544419574884,0.9968945140789895,0.869874078287385,0.004009581635284116,510.5157895887618,12.12805071034655,12.138462400911616,316.05124527627635,4188.271708456864,0.10117501647185535,-9.925141285146367,0.0010744529026404266
1,2.0,1.0,0.15,10.0,0.2537163801955913,0.9944098375931025,0.8698156323437836,0.00734287816959992,934.9242857707168,6.689717473914786,6.167883947400151,172.97489121214122,2293.338954414626,0.06695993658387067,-9.874089641750743,0.0013441039462988112
1,2.0,1.0,0.3,10.0,0.42564361865612543,0.9905771747741289,0.8697518245374198,0.012368426771861781,1574.7970072095495,4.051325469622142,3.2698038784137746,103.15932400683364,1369.0225835392812,0.05138835692941471,-9.818357830357115,0.0017934535971684776
1,2.0,1.0,0.075,15.0,0.25335144158308653,0.9954929180662329,0.8640758202174453,0.007550333781319677,961.3383546325986,6.440564193375375,5.905819800077857,167.83512831053255,2224.1777608993075,0.04846390884259557,-4.873746356359504,0.0009475290186486151
1,2.0,1.0,0.15,15.0,0.44010189521998233,0.9922132651602005,0.8640089215389978,0.013161678903973736,1675.7970055645917,3.732181947180713,2.932324410933277,96.50339961400935,1279.4588923686424,0.03916735303023493,-4.815610410440684,0.001420650907362065
1,2.0,1.0,0.3,15.0,0.6702895357724088,0.987520667243045,0.8639863618971704,0.020145184483318358,2564.964552014613,2.4873697454343704,1.5643719248993613,63.33928654871636,840.539414879619,0.03719959753071288,-4.7960064388929595,0.0021579311694219254
1,2.0,1.0,0.075,20.0,0.4325815769995093,0.9938124376170103,0.8582448121540271,0.013145210231599716,1673.7001490730026,3.6993253468934544,2.902410152626647,96.40187393119861,1277.5298394734734,0.029437266269489445,0.182828820458667,0.0010151216651104553
1,2.0,1.0,0.15,20.0,0.6786307578522573,0.9898128869109188,0.8582229073644985,0.02068812944920447,2634.0944521327215,2.374394481657157,1.447478870443781,61.39814788897533,813.9928093032606,0.030680865520994575,0.20178700975043284,0.0018024342296812078
1,2.0,1.0,0.3,20.0,0.8832125548666822,0.9836884589078679,0.8582970605336679,0.02697911602877212,3435.087740983095,1.8573077912026963,0.8776739899479419,47.29969450102863,627.6328159455836,0.03595861563400832,0.13760778442429,0.002864591685854997
1,3.0,1.0,0.075,10.0,0.0817799577197239,0.9969646076872614,0.8698799184559264,0.0034347418446454597,437.32491425591985,20.09901882658838,20.98564329060818,548.4737902853315,5895.491314700352,0.1433732337479399,-9.93024274448345,0.0012772410135915091
1,3.0,1.0,0.15,10.0,0.15526808004328307,0.9943759326930469,0.8698158256747256,0.0065328791004946665,831.7920011723689,10.642828518705535,10.555358366909624,288.81001071147045,3106.74299029275,0.08708778335826195,-9.874258508567834,0.0015163342920108003
