quantity,time_start_h,time_end_h,rho,difference,standard_error,df,ci_low,ci_high,assumption
FE,6,24,-0.5,0.0006699999999995043,0.016082094857325025,3.0,-0.05051040335991664,0.05185040335991565,paired_same4_assumption_unknown_rho
FE,6,24,0,0.0006699999999995043,0.013130980542213897,3.0,-0.04111864051132137,0.04245864051132038,paired_same4_assumption_unknown_rho
FE,6,24,0.5,0.0006699999999995043,0.009285016155074799,3.0,-0.028879065357217827,0.030219065357216836,paired_same4_assumption_unknown_rho
FE,6,24,1,0.0006699999999995043,2.0000000000021926e-05,3.0,0.0006063510738937605,0.0007336489261052482,paired_same4_assumption_unknown_rho
FE,12,24,independent,0.0004300000000085902,0.011507964633244229,5.490077760554416,-0.028375279125573062,0.029235279125590242,independent_groups_assumption_unverified
FE,12,24,-1,0.0004300000000085902,0.01608,3.0,-0.05074373658895343,0.05160373658897061,paired_same4_assumption_unknown_rho
FE,12,24,-0.5,0.0004300000000085902,0.013982125196120939,3.0,-0.04406736267040073,0.04492736267041791,paired_same4_assumption_unknown_rho
FE,12,24,0,0.0004300000000085902,0.011507964633244229,3.0,-0.036193479528395085,0.037053479528412266,paired_same4_assumption_unknown_rho
FE,12,24,0.5,0.0004300000000085902,0.008328665859547973,3.0,-0.026075531892652413,0.026935531892669593,paired_same4_assumption_unknown_rho
FE,12,24,1,0.0004300000000085902,0.002509999999999994,3.0,-0.007557940226253498,0.008417940226270678,paired_same4_assumption_unknown_rho
