trace_id,startup_exclusion_h,window_h,y_unit,first_window_start_h,first_window_end_h,last_window_start_h,last_window_end_h,first_unique_times,last_unique_times,first_median,last_median,change,relative_change_percent
natsynth2026_constant_current,1,1,V vs NHE (anode potential),1.55836,2.55836,199.0566,200.0566,675,7,1.41,1.423,0.013000000000000123,0.9219858156028456
natsynth2026_constant_current,1,3,V vs NHE (anode potential),1.55836,4.55836,197.0566,200.0566,2025,21,1.41,1.424,0.014000000000000012,0.9929078014184407
natsynth2026_constant_current,1,6,V vs NHE (anode potential),1.55836,7.55836,194.0566,200.0566,4051,42,1.413,1.424,0.010999999999999899,0.7784854918612809
natsynth2026_constant_current,1,12,V vs NHE (anode potential),1.55836,13.55836,188.0566,200.0566,8100,83,1.416,1.423,0.007000000000000117,0.49435028248588403
natsynth2026_constant_current,5,1,V vs NHE (anode potential),5.55836,6.55836,199.0566,200.0566,675,7,1.417,1.423,0.006000000000000005,0.4234297812279467
natsynth2026_constant_current,5,3,V vs NHE (anode potential),5.55836,8.55836,197.0566,200.0566,2025,21,1.416,1.424,0.008000000000000007,0.56497175141243
natsynth2026_constant_current,5,6,V vs NHE (anode potential),5.55836,11.55836,194.0566,200.0566,4051,42,1.417,1.424,0.006999999999999895,0.4940014114325967
natsynth2026_constant_current,5,12,V vs NHE (anode potential),5.55836,17.55836,188.0566,200.0566,6227,83,1.417,1.423,0.006000000000000005,0.4234297812279467
natsynth2026_constant_current,10,1,V vs NHE (anode potential),10.55836,11.55836,199.0566,200.0566,675,7,1.418,1.423,0.0050000000000001155,0.35260930888576275
natsynth2026_constant_current,10,3,V vs NHE (anode potential),10.55836,13.55836,197.0566,200.0566,2024,21,1.418,1.424,0.006000000000000005,0.4231311706629059
natsynth2026_constant_current,10,6,V vs NHE (anode potential),10.55836,16.55836,194.0566,200.0566,2782,42,1.418,1.424,0.006000000000000005,0.4231311706629059
natsynth2026_constant_current,10,12,V vs NHE (anode potential),10.55836,22.55836,188.0566,200.0566,3197,83,1.418,1.423,0.0050000000000001155,0.35260930888576275
natsynth2026_constant_current,20,1,V vs NHE (anode potential),20.55836,21.55836,199.0566,200.0566,69,7,1.419,1.423,0.0040000000000000036,0.2818886539816775
natsynth2026_constant_current,20,3,V vs NHE (anode potential),20.55836,23.55836,197.0566,200.0566,207,21,1.42,1.424,0.0040000000000000036,0.2816901408450707
natsynth2026_constant_current,20,6,V vs NHE (anode potential),20.55836,26.55836,194.0566,200.0566,414,42,1.42,1.424,0.0040000000000000036,0.2816901408450707
natsynth2026_constant_current,20,12,V vs NHE (anode potential),20.55836,32.55836,188.0566,200.0566,829,83,1.42,1.423,0.0030000000000001137,0.21126760563381083
natsynth2026_constant_current,30,1,V vs NHE (anode potential),30.55836,31.55836,199.0566,200.0566,69,7,1.419,1.423,0.0040000000000000036,0.2818886539816775
natsynth2026_constant_current,30,3,V vs NHE (anode potential),30.55836,33.55836,197.0566,200.0566,207,21,1.42,1.424,0.0040000000000000036,0.2816901408450707
natsynth2026_constant_current,30,6,V vs NHE (anode potential),30.55836,36.55836,194.0566,200.0566,415,42,1.419,1.424,0.004999999999999893,0.35236081747708903
natsynth2026_constant_current,30,12,V vs NHE (anode potential),30.55836,42.55836,188.0566,200.0566,830,83,1.419,1.423,0.0040000000000000036,0.2818886539816775
