energy_ev,D_Tup,D_Tdown,L_Tup,L_Tdown,D_Px,D_Py,D_Pz,L_Px,L_Py,L_Pz,single_Pz,zero_SOC_Pz,flux_deficit
-0.9,0.51359863965,0.5135865597,0.5135865597,0.51359863965,5.97548947035e-06,-3.06722444954e-06,1.1760245608e-05,-5.97548947034e-06,-3.06722444951e-06,-1.17602456085e-05,6.38281486569e-16,0,8.34711944009e-09
-0.895,0.52952581709,0.529513000477,0.529513000477,0.52952581709,6.12706424717e-06,-3.07762775219e-06,1.21021185667e-05,-6.12706424719e-06,-3.0776277522e-06,-1.21021185661e-05,7.72957965959e-16,0,8.58241566704e-09
-0.89,0.556461677912,0.556447815879,0.556447815879,0.556461677912,6.28328456199e-06,-3.08554472698e-06,1.24556695586e-05,-6.28328456199e-06,-3.08554472697e-06,-1.24556695592e-05,2.52371676802e-15,0,8.99280871991e-09
-0.885,0.594861764893,0.594846511509,0.594846511509,0.594861764893,6.44423052807e-06,-3.09068283057e-06,1.28211131049e-05,-6.44423052809e-06,-3.09068283058e-06,-1.28211131037e-05,-3.92488716167e-16,0,9.58080859093e-09
-0.88,0.645014293306,0.644997266964,0.644997266964,0.645014293306,6.60995963034e-06,-3.09271830168e-06,1.31985966506e-05,-6.60995963029e-06,-3.09271830167e-06,-1.31985966503e-05,1.68674104077e-15,0,1.03457389322e-08
-0.875,0.70642350888,0.706404311127,0.706404311127,0.70642350888,6.78049868312e-06,-3.09129287467e-06,1.35881758437e-05,-6.78049868313e-06,-3.0912928747e-06,-1.35881758431e-05,-3.4312589716e-16,0,1.1273876499e-08
-0.87,0.776848394218,0.776826658643,0.776826658643,0.776848394218,6.95583328647e-06,-3.08601026522e-06,1.39897819207e-05,-6.95583328648e-06,-3.08601026529e-06,-1.39897819206e-05,6.12866004784e-16,0,1.23237033911e-08
-0.865,0.851128578316,0.851104060756,0.851104060756,0.851128578316,7.13589390919e-06,-3.07643249475e-06,1.44031784498e-05,-7.13589390916e-06,-3.07643249474e-06,-1.440317845e-05,1.14116260472e-15,0,1.3408793631e-08
-0.86,0.920439084808,0.920411788849,0.920411788849,0.920439084808,7.32053737298e-06,-3.06207618244e-06,1.48279035127e-05,-7.32053737297e-06,-3.06207618245e-06,-1.48279035128e-05,4.1555823732e-16,0,1.43887182169e-08
-0.855,0.973214967107,0.973185258827,0.973185258827,0.973214967107,7.50952198267e-06,-3.04240903644e-06,1.5263191762e-05,-7.50952198267e-06,-3.04240903644e-06,-1.52631917614e-05,-4.09623898442e-16,0,1.50866823478e-08
-0.85,0.998678527876,0.998647154147,0.998647154147,0.998678527876,7.70247374875e-06,-3.01684694305e-06,1.57078682488e-05,-7.70247374873e-06,-3.01684694308e-06,-1.57078682478e-05,1.25356867578e-15,0,1.53462353936e-08
-0.845,0.991717049558,0.99168499738,0.99168499738,0.991717049558,7.89883991339e-06,-2.98475233586e-06,1.61602020774e-05,-7.89883991336e-06,-2.98475233587e-06,-1.61602020766e-05,4.44335053796e-16,0,1.51046890551e-08
-0.84,0.955513230989,0.955481474648,0.955481474648,0.955513230989,8.09782404004e-06,-2.9454349944e-06,1.66177018341e-05,-8.09782404003e-06,-2.94543499442e-06,-1.66177018332e-05,-5.59425775559e-16,0,1.4427616879e-08
-0.835,0.899601497416,0.899570773266,0.899570773266,0.899601497416,8.29829375481e-06,-2.89815722854e-06,1.70768250327e-05,-8.29829375482e-06,-2.89815722854e-06,-1.70768250335e-05,-6.74048304048e-17,0,1.34726232393e-08
-0.83,0.835214908912,0.835185622518,0.835185622518,0.835214908912,8.49864692773e-06,-2.84214680447e-06,1.75325576314e-05,-8.49864692775e-06,-2.84214680442e-06,-1.75325576322e-05,0,0,1.24154959646e-08
-0.825,0.771521212726,0.771493472728,0.771493472728,0.771521212726,8.696612921e-06,-2.77662347284e-06,1.79777922888e-05,-8.69661292098e-06,-2.77662347282e-06,-1.79777922883e-05,-2.88346438767e-16,0,1.13941769353e-08
-0.82,0.71431181453,0.71428552493,0.71428552493,0.71431181453,8.88894908837e-06,-2.7008495727e-06,1.84023856078e-05,-8.88894908834e-06,-2.70084957269e-06,-1.84023856082e-05,1.42417853107e-16,0,1.04918793653e-08
-0.815,0.666452603649,0.666427556583,0.666427556583,0.666452603649,9.07096189589e-06,-2.61422400381e-06,1.87916859319e-05,-9.07096189583e-06,-2.6142240038e-06,-1.87916859317e-05,6.83303016364e-17,0,9.74649849717e-09
-0.81,0.628908911348,0.628884857107,0.628884857107,0.628908911348,9.23572130893e-06,-2.51645647177e-06,1.91241533203e-05,-9.23572130893e-06,-2.51645647178e-06,-1.91241533205e-05,1.33953370251e-15,0,9.16755116265e-09
-0.805,0.601656203315,0.601632898793,0.601632898793,0.601656203315,9.37271014929e-06,-2.40789601914e-06,1.93673502234e-05,-9.37271014932e-06,-2.40789601912e-06,-1.93673502236e-05,-2.90244409674e-16,0,8.75047145854e-09
-0.8,0.584287217943,0.584264465254,0.584264465254,0.584287217943,9.46536535905e-06,-2.29017127783e-06,1.94708453699e-05,-9.46536535905e-06,-2.29017127785e-06,-1.94708453696e-05,1.13661128473e-15,0,8.48584913449e-09
-0.795,0.576354543589,0.576332235784,0.576332235784,0.576354543589,9.48627185772e-06,-2.16750316464e-06,1.93528770217e-05,-9.48627185765e-06,-2.16750316461e-06,-1.9352877021e-05,5.42492499237e-16,0,8.36451019559e-09
-0.79,0.577535920524,0.577514120846,0.577514120846,0.577535920524,9.38687332504e-06,-2.04959927112e-06,1.88733621384e-05,-9.38687332503e-06,-2.04959927113e-06,-1.88733621378e-05,-7.84540127399e-17,0,8.38006530834e-09
-0.785,0.587690418656,0.587669527815,0.587669527815,0.587690418656,9.07262084086e-06,-1.95873011111e-06,1.7773994719e-05,-9.07262084083e-06,-1.95873011107e-06,-1.77739947189e-05,4.10356451134e-16,0,8.53035819759e-09
-0.78,0.606842965768,0.606824118401,0.606824118401,0.606842965768,8.33189866974e-06,-1.9498412799e-06,1.55292731323e-05,-8.33189866977e-06,-1.94984127987e-06,-1.55292731313e-05,1.52404747534e-15,0,8.8198430781e-09
-0.775,0.635114810182,0.635100927195,0.635100927195,0.635114810182,6.57268783575e-06,-2.18281082347e-06,1.09296288205e-05,-6.57268783581e-06,-2.18281082351e-06,-1.092962882e-05,1.30238637693e-15,0,9.2717500344e-09
-0.77,0.672670060906,0.672668383551,0.672668383551,0.672670060906,1.25845074257e-06,-3.31669491023e-06,1.24679014815e-06,-1.25845074262e-06,-3.31669491028e-06,-1.24679014733e-06,1.27786723828e-15,0,1.00416908122e-08
-0.765,0.723182654855,0.72284128137,0.72284128137,0.723182654855,-5.73551794042e-05,-1.16633981327e-05,0.00023607734085,5.73551794048e-05,-1.16633981321e-05,-0.000236077340849,1.15310939241e-16,0,2.08499630894e-08
-0.76,0.76906882473,0.768827195283,0.768827195283,0.76906882473,3.41850089014e-05,9.11573910152e-06,0.00015711689493,-3.41850089017e-05,9.11573910179e-06,-0.000157116894929,-5.00385801416e-16,0,1.19531167186e-08
-0.755,0.827663112085,0.827528542353,0.827528542353,0.827663112085,2.36455520172e-05,5.55582112051e-06,8.13016013956e-05,-2.36455520172e-05,5.55582112031e-06,-8.13016013951e-05,5.5729248839e-16,0,1.20064040932e-08
-0.75,0.886094180153,0.885977231949,0.885977231949,0.886094180153,2.0887351996e-05,5.40285082742e-06,6.59951986295e-05,-2.0887351996e-05,5.40285082738e-06,-6.59951986283e-05,5.47880286999e-16,0,1.26890307151e-08
-0.745,0.93860155397,0.938488074766,0.938488074766,0.93860155397,1.96876307695e-05,6.06862636967e-06,6.0454867381e-05,-1.96876307695e-05,6.06862636964e-06,-6.04548673799e-05,-1.66363665974e-15,0,1.33521931289e-08
-0.74,0.978083430664,0.977969429126,0.977969429126,0.978083430664,1.89844032929e-05,7.23014125276e-06,5.82814197825e-05,-1.8984403293e-05,7.23014125268e-06,-5.8281419782e-05,6.76990206642e-16,0,1.38490088286e-08
-0.735,0.998264052129,0.998148706597,0.998148706597,0.998264052129,1.83945824948e-05,8.8727514909e-06,5.77763946413e-05,-1.83945824948e-05,8.87275149088e-06,-5.77763946406e-05,-1.0495893336e-16,0,1.40888045674e-08
-0.73,0.995942259051,0.995825823899,0.995825823899,0.995942259051,1.76747645472e-05,1.1111013378e-05,5.84581876848e-05,-1.76747645472e-05,1.11110133779e-05,-5.84581876838e-05,7.81480828261e-16,0,1.40354914357e-08
-0.725,0.972266679152,0.97214894968,0.97214894968,0.972266679152,1.65603435198e-05,1.41985350975e-05,6.0547482726e-05,-1.65603435198e-05,1.41985350974e-05,-6.05474827249e-05,-1.74382138363e-16,0,1.37199311911e-08
-0.72,0.932181276641,0.932059310865,0.932059310865,0.932181276641,1.46321521981e-05,1.8644793694e-05,6.54238392051e-05,-1.46321521982e-05,1.86447936939e-05,-6.54238392035e-05,-7.70168686458e-16,0,1.32351325455e-08
-0.715,0.882476552326,0.882338844719,0.882338844719,0.882476552326,1.10506647922e-05,2.55758063137e-05,7.80294683498e-05,-1.10506647921e-05,2.55758063137e-05,-7.80294683499e-05,1.18223216374e-15,0,1.27280355144e-08
-0.71,0.82974024056,0.829543368005,0.829543368005,0.82974024056,3.74204206941e-06,3.80351935687e-05,0.000118649128732,-3.74204206937e-06,3.80351935689e-05,-0.000118649128732,6.35497256091e-16,0,1.24548673597e-08
-0.705,0.779373673742,0.778889165156,0.778889165156,0.779373673742,-1.42056317061e-05,6.79978115846e-05,0.000310928665931,1.42056317058e-05,6.79978115844e-05,-0.000310928665929,-1.10716868231e-15,0,1.33133226665e-08
-0.7,0.743176897923,0.738840746198,0.738840746198,0.743176897923,-8.45948878203e-05,0.000239831698913,0.00292584352283,8.45948878208e-05,0.000239831698914,-0.00292584352283,1.04154750412e-15,0,2.80210632475e-08
-0.695,0.742990231936,0.730487850213,0.730487850213,0.742990231936,0.000302840922434,6.61764588833e-06,0.00848494583973,-0.000302840922435,6.61764588803e-06,-0.00848494583973,3.85548102297e-16,0,4.42465299955e-08
-0.69,0.674168971808,0.672415453485,0.672415453485,0.674168971808,0.00012005479122,-3.17521764495e-05,0.001302197092,-0.000120054791219,-3.17521764494e-05,-0.00130219709199,6.16068092753e-16,0,1.25541237406e-08
-0.685,0.648924007534,0.64796627039,0.64796627039,0.648924007534,9.45629194246e-05,-1.572099843e-05,0.000738487411017,-9.45629194246e-05,-1.57209984301e-05,-0.000738487411015,7.96391492499e-17,0,1.0352289026e-08
-0.68,0.634179482645,0.633421710355,0.633421710355,0.634179482645,8.77584795556e-05,-4.11103646957e-06,0.000597800234764,-8.77584795556e-05,-4.11103646967e-06,-0.000597800234764,2.87462924975e-16,0,9.77547798264e-09
-0.675,0.628084832973,0.627365610913,0.627365610913,0.628084832973,8.77104061299e-05,6.44767166761e-06,0.000572879689226,-8.77104061299e-05,6.44767166761e-06,-0.000572879689225,6.52124208392e-16,0,9.67114344164e-09
-0.67,0.630246087943,0.629474626226,0.629474626226,0.630246087943,9.18815122916e-05,1.81743720347e-05,0.000612406946891,-9.18815122917e-05,1.81743720348e-05,-0.00061240694689,1.02170322282e-15,0,9.86035475492e-09
-0.665,0.640703856288,0.639783545937,0.639783545937,0.640703856288,0.000100154035555,3.33661991057e-05,0.000718718785475,-0.000100154035555,3.33661991057e-05,-0.000718718785473,5.11404362255e-16,0,1.03465822576e-08
-0.66,0.659962082875,0.658730146728,0.658730146728,0.659962082875,0.000114093281513,5.58500096365e-05,0.000934210515085,-0.000114093281513,5.58500096365e-05,-0.000934210515084,1.44381620332e-15,0,1.12565659016e-08
