bias_v,tip_plus_current_a,tip_minus_current_a,asymmetry
-0.005,-3.14012091507e-07,-3.14011085781e-07,1.601414987e-06
0,0,0,nan
0.005,3.14012091507e-07,3.14011085781e-07,1.601414987e-06
0.01,6.27957317311e-07,6.27955302326e-07,1.60439881162e-06
0.015,9.41769897301e-07,9.41766866034e-07,1.6093483795e-06
0.02,1.25538620473e-06,1.25538214675e-06,1.61622878976e-06
0.025,1.56874579861e-06,1.56874070022e-06,1.62499179001e-06
0.03,1.88179240396e-06,1.88178624834e-06,1.63557637097e-06
0.035,2.19447482374e-06,2.19446759116e-06,1.64790950894e-06
0.04,2.50674776796e-06,2.50673943601e-06,1.66190704041e-06
0.045,2.81857258636e-06,2.81856313021e-06,1.67747465359e-06
0.05,3.12991789308e-06,3.12990728575e-06,1.69450897525e-06
0.055,3.44076007334e-06,3.44074828601e-06,1.71289873569e-06
0.06,3.75108366405e-06,3.75107066637e-06,1.73252598947e-06
0.065,4.0608816023e-06,4.0608673627e-06,1.75326737229e-06
0.07,4.3701553378e-06,4.37013982382e-06,1.77499537656e-06
0.075,4.67891480739e-06,4.67889798598e-06,1.79757962465e-06
0.08,4.98717827162e-06,4.98716010947e-06,1.82088812781e-06
0.085,5.29497201597e-06,5.2949524798e-06,1.84478851434e-06
0.09,5.60232992071e-06,5.60230897757e-06,1.86914921803e-06
0.095,5.90929290586e-06,5.90927052339e-06,1.89384061569e-06
0.1,6.21590825929e-06,6.21588440596e-06,1.91873610874e-06
0.105,6.52222885799e-06,6.52220350335e-06,1.94371314637e-06
0.11,6.82831229405e-06,6.82828540893e-06,1.96865418416e-06
0.115,7.13421991863e-06,7.1341914753e-06,1.99344758133e-06
0.12,7.4400158183e-06,7.43998579063e-06,2.01798843433e-06
0.125,7.74576573969e-06,7.74573410327e-06,2.04217935031e-06
0.13,8.05153597896e-06,8.05150271119e-06,2.06593115903e-06
0.135,8.35739225379e-06,8.35735733395e-06,2.08916356725e-06
