site,orbital,x_angstrom,y_angstrom,z_angstrom,grad_x,grad_y,grad_z,tangent_x,tangent_y,tangent_z,soc_axis_x,soc_axis_y,soc_axis_z
11,0,1.33951844868,3.76904368848,6.45652173913,-1.47281792994e-16,1,0,-0.976830149591,0,0.21401602475,0.21401602475,3.15206638547e-17,0.976830149591
11,1,-3.32703131073,3.17661182038,6.45652173913,-0.912763940261,0.408487440884,0,-0.401270097162,-0.896636807734,0.187148989151,0.0764480116422,0.170822848753,0.982331540703
12,0,-1.33951844868,3.76904368848,7.04347826087,-0.631087944326,0.775711290704,0,-0.757738176138,-0.616465731061,0.21401602475,0.16601464679,0.135062933112,0.976830149591
12,1,-4.58553717591,0.364484304655,7.04347826087,-0.965832793559,-0.259165998709,0,0.25458693481,-0.948768016158,0.187148989151,-0.0485026546806,0.180754631003,0.982331540703
13,0,-3.41767761819,2.07833580014,7.63043478261,-0.979084087682,0.203456013053,0,-0.198741967665,-0.956398855833,0.21401602475,0.0435428471251,0.209539684342,0.976830149591
13,1,-3.78707461186,-2.61114263957,7.63043478261,-0.585650865531,-0.810563423615,0,0.796242016757,-0.575303317051,0.187148989151,-0.151696125372,0.109603967479,0.982331540703
14,0,-3.96274378415,-0.544666596385,8.21739130435,-0.887885218402,-0.460065037731,0,0.449405399629,-0.867313050712,0.21401602475,-0.0984612905018,0.190021664877,0.976830149591
14,1,-1.28981589441,-4.41546995896,8.21739130435,0.0572408159515,-0.998360400351,0,0.980720910254,0.0562294589248,0.187148989151,-0.186842139734,-0.0107125608435,0.982331540703
15,0,-2.73021257287,-2.92334385711,8.80434782609,-0.398401089846,-0.917211301505,0,0.895959652856,-0.389170196192,0.21401602475,-0.196297916604,0.0852642175051,0.976830149591
15,1,1.78602510741,-4.2391171623,8.80434782609,0.674455559977,-0.738315445874,0,0.72527054947,0.662538969368,0.187148989151,-0.13817498937,-0.126223676277,0.982331540703
16,0,-0.272969653459,-3.99067507676,9.39130434783,0.269796771157,-0.962917287348,0,0.940606637844,0.263545620329,0.21401602475,-0.206079730001,-0.0577408324535,0.976830149591
16,1,4.06069557701,-2.16119213186,9.39130434783,0.989124769953,-0.147078854581,0,0.144480197825,0.971648459216,0.187148989151,-0.0275256589603,-0.185113700841,0.982331540703
17,0,2.30672128846,-3.26787957204,9.97826086957,0.81696989301,-0.576680322115,0,0.563318725318,0.798040822801,0.21401602475,-0.123418830091,-0.174844648843,0.976830149591
17,1,4.51382970699,0.886194886162,9.97826086957,0.86009494396,0.510133989629,0,-0.501120707998,0.844898391451,0.187148989151,0.0954710604905,-0.160965899336,0.982331540703
18,0,3.85166914939,-1.07918708463,10.5652173913,0.997668769191,0.0682424133647,0,-0.0666612468555,0.974552933051,0.21401602475,0.0146049700277,-0.213517104,0.976830149591
18,1,2.94216175905,3.53605488978,10.5652173913,0.345245948261,0.938512245636,0,-0.921930180225,0.339145984277,0.187148989151,0.175641618076,-0.0646124302254,0.982331540703
19,0,3.66884520602,1.59360435938,11.152173913,0.730835964278,0.682553143219,0,-0.666738488994,0.713902604312,0.21401602475,0.146077310392,-0.156410607819,0.976830149591
19,1,0.0507064841573,4.59972051895,11.152173913,-0.324472583687,0.945895101179,0,-0.929182592085,-0.31873965305,0.187148989151,0.177023312028,0.0607247160442,0.982331540703
20,0,1.84026015092,3.55154087361,11.7391304348,0.136166649096,0.990685946036,0,-0.967731900864,0.133011688206,0.21401602475,0.212022667947,-0.0291418449431,0.976830149591
20,1,-2.86349457451,3.60005539149,11.7391304348,-0.848640041642,0.528970773977,0,-0.519624675388,-0.833645879608,0.187148989151,0.0989963456401,0.158822125946,0.982331540703
21,0,-0.813824052211,3.91633635073,12.3260869565,-0.519583950035,0.854419404546,0,-0.834622634757,-0.507545267638,0.21401602475,0.182859444431,0.111199291511,0.976830149591
21,1,-4.49319662879,0.985486709723,12.3260869565,-0.992126740403,-0.125237897526,0,0.123025136831,-0.974597389473,0.187148989151,-0.0234381459253,0.185675516576,0.982331540703
22,0,-3.10284516282,2.5243517773,12.9130434783,-0.942260922119,0.334879612171,0,-0.327120501652,-0.920428877507,0.21401602475,0.0716696033667,0.201658936829,0.976830149591
22,1,-4.10735213811,-2.07114905634,12.9130434783,-0.69056778704,-0.723267676247,0,0.710488650748,-0.678366518202,0.187148989151,-0.135358814495,0.129239063284,0.982331540703
23,0,-4,2.44929359829e-15,13.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,1,-1.87904222807,-4.1987141252,13.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
