bias_v,frequency_hz,z_real_ohm,z_imag_ohm,i_real_a,i_imag_a
-0.25,48.2317848224,96438.6029833,-18220.8069608,1.00118956276e-07,1.89161613605e-08
-0.25,50.1187233627,96189.0104829,-18014.115231,1.00439257511e-07,1.88100943075e-08
-0.25,52.079483286,95950.7246707,-17825.4266482,1.00743205912e-07,1.87157588799e-08
-0.25,54.1169526546,95722.8387362,-17655.0788688,1.01031395339e-07,1.86341867467e-08
-0.25,56.234132519,95504.4665977,-17503.3761785,1.0130443613e-07,1.85663531487e-08
-0.25,58.4341413374,95294.7425927,-17370.5940587,1.01562948767e-07,1.85131803333e-08
-0.25,60.7202195691,95092.8207627,-17256.983426,1.01807558246e-07,1.84755413837e-08
-0.25,63.095734448,94897.8737818,-17162.7745369,1.02038889134e-07,1.84542643413e-08
-0.25,65.5641849418,94709.0915767,-17088.1805535,1.02257561281e-07,1.8450136529e-08
-0.25,68.1292069058,94525.6796773,-17033.4007722,1.02464186148e-07,1.84639089972e-08
-0.25,70.7945784384,94346.8573334,-16998.6235156,1.02659363716e-07,1.84963010266e-08
-0.25,73.564225446,94171.8554312,-16984.0286929,1.02843679917e-07,1.85480046305e-08
-0.25,76.4422274253,93999.9142341,-16989.7900338,1.03017704559e-07,1.86196890124e-08
-0.25,79.4328234724,93830.280975,-17016.0769998,1.03181989678e-07,1.87120049425e-08
-0.25,82.5404185268,93662.2073179,-17063.0563783,1.03337068283e-07,1.88255890243e-08
-0.25,85.7695898591,93494.946709,-17130.8935629,1.03483453445e-07,1.8961067832e-08
-0.25,89.1250938134,93327.7516308,-17219.7535239,1.03621637695e-07,1.91190619047e-08
-0.25,92.6118728129,93159.8707756,-17329.8014681,1.03752092673e-07,1.93001895877e-08
-0.25,96.2350626398,92990.5461481,-17461.20319,1.03875269015e-07,1.95050707175e-08
-0.25,100,92819.0101099,-17614.1251103,1.03991596423e-07,1.97343301512e-08
-0.25,103.912230384,92644.4823769,-17788.7339994,1.04101483908e-07,1.99886011413e-08
-0.25,107.977516233,92466.1669793,-17985.1963776,1.04205320154e-07,2.02685285633e-08
-0.25,112.20184543,92283.2491979,-18203.6775855,1.04303474008e-07,2.05747720024e-08
-0.25,116.591440118,92094.8924857,-18444.3405127,1.04396295044e-07,2.09080087079e-08
-0.25,121.152765863,91900.2353926,-18707.3439725,1.04484114206e-07,2.12689364263e-08
-0.25,125.892541179,91698.3885057,-18992.840709,1.04567244505e-07,2.16582761227e-08
-0.25,130.817747426,91488.4314264,-19300.9750173,1.04645981745e-07,2.20767746024e-08
-0.25,135.935639088,91269.4098043,-19631.8799616,1.04720605291e-07,2.25252070433e-08
-0.25,141.253754462,91040.3324553,-19985.6741694,1.04791378837e-07,2.30043794516e-08
-0.25,146.779926762,90800.1685919,-20362.458182,1.04858551201e-07,2.35151310506e-08
-0.25,152.522295654,90547.845203,-20762.3103401,1.04922357099e-07,2.40583366155e-08
-0.25,158.489319246,90282.2446224,-21185.2821823,1.04983017934e-07,2.4634908764e-08
-0.25,164.689786548,90002.2023343,-21631.3933385,1.05040742562e-07,2.52458002137e-08
-0.25,171.132830416,89706.5050699,-22100.6258962,1.05095728052e-07,2.58920060162e-08
-0.25,177.827941004,89393.8892566,-22592.9182273,1.05148160424e-07,2.6574565778e-08
-0.25,184.784979742,89063.0398901,-23108.158261,1.05198215372e-07,2.72945658781e-08
-0.25,192.014193864,88712.5899083,-23646.176197,1.05246058968e-07,2.80531416902e-08
-0.25,199.526231497,88341.1201537,-24206.7366604,1.05291848344e-07,2.88514798194e-08
-0.25,207.332157349,87947.1600204,-24789.530307,1.05335732349e-07,2.96908203617e-08
-0.25,215.443469003,87529.1888916,-25394.1649007,1.05377852196e-07,3.05724591925e-08
-0.25,223.872113857,87085.6384799,-26020.155897,1.05418342073e-07,3.14977502952e-08
-0.25,232.630506715,86614.8961905,-26666.9165829,1.0545732975e-07,3.24681081336e-08
-0.25,241.73154808,86115.3096354,-27333.747844,1.05494937154e-07,3.34850100777e-08
-0.25,251.188643151,85585.1924259,-28019.8276479,1.05531280936e-07,3.45499988898e-08
-0.25,261.015721568,85022.8313779,-28724.2003613,1.05566473015e-07,3.56646852754e-08
-0.25,271.227257933,84426.4952581,-29445.7660433,1.05600621109e-07,3.68307505089e-08
-0.25,281.838293126,83794.4451934,-30183.269887,1.05633829254e-07,3.80499491371e-08
-0.25,292.864456463,83124.9468566,-30935.2920161,1.05666198311e-07,3.9324111769e-08
-0.25,304.321988711,82416.2845226,-31700.2378726,1.05697826461e-07,4.06551479579e-08
-0.25,316.227766017,81666.7770623,-32476.3294699,1.05728809692e-07,4.2045049181e-08
-0.25,328.59932476,80874.7959146,-33261.5978163,1.05759242289e-07,4.34958919227e-08
-0.25,341.454887383,80038.7850302,-34053.8768457,1.05789217302e-07,4.50098408697e-08
-0.25,354.813389234,79157.2827347,-34850.7992206,1.05818827033e-07,4.65891522205e-08
-0.25,368.694506452,78228.9453974,-35649.7943945,1.05848163506e-07,4.82361771191e-08
-0.25,383.118684956,77252.5727245,-36448.0893299,1.05877318953e-07,4.99533652163e-08
-0.25,398.107170553,76227.1344194,-37242.7122768,1.05906386295e-07,5.17432683663e-08
-0.25,413.682040239,75151.7978679,-38030.4999984,1.05935459639e-07,5.36085444649e-08
-0.25,429.866234708,74025.9564202,-38808.1088077,1.05964634778e-07,5.55519614348e-08
-0.25,446.683592151,72849.2577512,-39572.0297304,1.05994009709e-07,5.75764013655e-08
-0.25,464.158883361,71621.6316918,-40318.6080421,1.06023685165e-07,5.96848648149e-08
-0.25,482.317848224,70343.316847,-41044.0673411,1.06053765162e-07,6.18804752775e-08
-0.25,501.187233627,69014.8852438,-41744.5382072,1.06084357575e-07,6.41664838291e-08
-0.25,520.79483286,67637.2642027,-42416.0913652,1.0611557473e-07,6.65462739523e-08
-0.25,541.169526546,66211.7545998,-43054.7751252,1.06147534032e-07,6.90233665526e-08
-0.25,562.34132519,64740.0446849,-43656.656706,1.06180358618e-07,7.16014251719e-08
-0.25,584.341413374,63224.2186583,-44217.8668819,1.06214178051e-07,7.42842614064e-08
-0.25,607.202195691,61666.7592805,-44734.6472155,1.06249129046e-07,7.70758405387e-08
-0.25,630.95734448,60070.5438972,-45203.3989839,1.06285356249e-07,7.99802873916e-08
-0.25,655.641849418,58438.8334177,-45620.7327527,1.06323013054e-07,8.30018924116e-08
-0.25,681.292069058,56775.2539631,-45983.5174402,1.0636226248e-07,8.61451179928e-08
-0.25,707.945784384,55083.7711239,-46288.9276298,1.06403278103e-07,8.94146050492e-08
-0.25,735.64225446,53368.6569987,-46534.4878546,1.06446245049e-07,9.28151798445e-08
-0.25,764.422274253,51634.4504395,-46718.1125935,1.06491361061e-07,9.63518610914e-08
-0.25,794.328234724,49885.9111765,-46838.1407873,1.06538837636e-07,1.00029867328e-07
-0.25,825.404185268,48127.9687287,-46893.36381,1.06588901247e-07,1.03854624584e-07
-0.25,857.695898591,46365.6672186,-46883.0460061,1.06641794653e-07,1.07831774345e-07
-0.25,891.250938134,44604.1073713,-46806.9371265,1.06697778303e-07,1.11967181833e-07
