bias_v,frequency_hz,z_real_ohm,z_imag_ohm,i_real_a,i_imag_a
-0.25,0.926118728129,156871.548201,-16410.584857,6.30563597143e-08,6.59642716433e-09
-0.25,0.962350626398,156391.049692,-16495.6324242,6.32387244494e-08,6.67022029422e-09
-0.25,1,155915.259634,-16570.8153015,6.34210235204e-08,6.74044394025e-09
-0.25,1.03912230384,155445.130765,-16637.036735,6.36028069027e-08,6.80730383564e-09
-0.25,1.07977516233,154981.516893,-16695.2937599,6.37836427398e-08,6.87105581342e-09
-0.25,1.1220184543,154525.16382,-16746.6644794,6.39631230319e-08,6.93200339663e-09
-0.25,1.16591440118,154076.702236,-16792.2945785,6.41408688722e-08,6.99049466269e-09
-0.25,1.21152765863,153636.642575,-16833.3834142,6.43165351293e-08,7.04691847959e-09
-0.25,1.25892541179,153205.371823,-16871.1700052,6.44898144925e-08,7.10170022733e-09
-0.25,1.30817747426,152783.15216,-16906.9192216,6.46604408258e-08,7.15529712808e-09
-0.25,1.35935639088,152370.121311,-16941.9084353,6.48281917996e-08,7.2081933127e-09
-0.25,1.41253754462,151966.294419,-16977.4148511,6.49928907947e-08,7.26089475046e-09
-0.25,1.46779926762,151571.567235,-17014.7036906,6.51544080971e-08,7.31392416224e-09
-0.25,1.52522295654,151185.720422,-17055.0173546,6.53126614223e-08,7.36781602736e-09
-0.25,1.58489319246,150808.424723,-17099.5656401,6.54676158246e-08,7.42311178008e-09
-0.25,1.64689786548,150439.246805,-17149.5170478,6.56192830616e-08,7.48035527582e-09
-0.25,1.71132830416,150077.655551,-17205.9911716,6.57677204913e-08,7.54008858943e-09
-0.25,1.77827941004,149723.028623,-17270.0521326,6.59130295865e-08,7.60284819005e-09
-0.25,1.84784979742,149374.659125,-17342.702987,6.60553541505e-08,7.66916151937e-09
-0.25,1.92014193864,149031.762236,-17424.8810197,6.61948783195e-08,7.73954398395e-09
-0.25,1.99526231497,148693.481687,-17517.4538166,6.63318244285e-08,7.81449635728e-09
-0.25,2.07332157349,148358.896016,-17621.2160003,6.64664508144e-08,7.89450257469e-09
-0.25,2.15443469003,148027.024518,-17736.8865084,6.65990496196e-08,7.98002789368e-09
-0.25,2.23872113857,147696.832891,-17865.1062945,6.67299446512e-08,8.07151738386e-09
-0.25,2.32630506715,147367.23854,-18006.4363345,6.68594893408e-08,8.16939470466e-09
-0.25,2.4173154808,147037.115573,-18161.3558297,6.6988064839e-08,8.27406112491e-09
-0.25,2.51188643151,146705.299513,-18330.2605075,6.71160782713e-08,8.38589473618e-09
-0.25,2.61015721568,146370.591777,-18513.4609317,6.72439611704e-08,8.50524981082e-09
-0.25,2.71227257933,146031.763992,-18711.1807508,6.73721680933e-08,8.63245625678e-09
-0.25,2.81838293126,145687.562217,-18923.5548254,6.75011754227e-08,8.76781912228e-09
-0.25,2.92864456463,145336.711153,-19150.6271933,6.76314803463e-08,8.91161810644e-09
-0.25,3.04321988711,144977.918445,-19392.3488487,6.77636000003e-08,9.06410703471e-09
-0.25,3.16227766017,144609.879161,-19648.5753279,6.78980707589e-08,9.22551326135e-09
-0.25,3.2859932476,144231.280555,-19919.064113,6.80354476472e-08,9.39603696529e-09
