step,time_ps,T_K,PE_kJmol,d_NC_A,theta_deg,hills,W_last_kcal,V_kJmol,sps
300000,600.00,300.37,-20993.93,1.3825,106.801,512,0.2908,2.9073,433.1
302500,605.00,292.89,-21276.61,1.4211,102.835,512,0.1887,5.2295,433.0
305000,610.00,299.25,-21159.29,1.5125,96.405,512,0.2479,3.7650,432.8
307500,615.00,302.10,-21218.19,1.4168,107.648,512,0.3206,2.3848,432.7
310000,620.00,314.87,-20898.98,1.4453,84.170,512,0.0668,10.7966,432.6
312500,625.00,298.66,-20954.39,1.4759,105.457,512,0.3496,1.9192,432.6
315000,630.00,300.87,-20866.69,1.4778,88.635,512,0.1009,8.5895,432.5
317500,635.00,307.88,-21254.67,1.4074,106.838,512,0.2885,2.9504,432.5
320000,640.00,306.58,-20993.36,1.4898,105.366,512,0.3720,1.5863,432.5
322500,645.00,299.64,-21180.93,1.4483,101.756,512,0.2031,4.8338,432.3
325000,650.00,287.84,-21106.51,1.3440,101.870,512,0.2375,3.9934,432.2
327500,655.00,313.57,-21057.01,1.4635,104.513,512,0.3002,2.7364,432.2
330000,660.00,289.33,-20896.08,1.4738,98.650,512,0.1957,5.0321,432.2
332500,665.00,300.06,-20859.32,1.4228,104.438,512,0.2291,4.1867,432.2
335000,670.00,309.37,-20747.56,1.4219,106.574,512,0.2911,2.9023,432.2
337500,675.00,303.25,-20961.16,1.4598,106.206,512,0.3392,2.0825,432.1
340000,680.00,311.14,-20750.18,1.4870,96.352,512,0.1881,5.2441,432.1
342500,685.00,299.43,-21082.07,1.4504,103.054,512,0.2363,4.0225,432.0
345000,690.00,296.91,-21046.15,1.5245,94.706,512,0.2522,3.6721,431.9
347500,695.00,299.35,-21205.10,1.4441,104.275,512,0.2557,3.5971,431.9
350000,700.00,294.84,-21181.13,1.4772,106.476,512,0.3769,1.5162,431.9
352500,705.00,297.76,-21194.70,1.4151,91.523,512,0.0804,9.8080,431.8
355000,710.00,310.29,-20899.75,1.4835,102.861,512,0.3017,2.7105,431.8
357500,715.00,292.68,-21124.24,1.4316,100.469,512,0.1559,6.2524,432.2
360000,720.00,302.43,-21308.97,1.4097,102.662,512,0.1778,5.5467,432.7
362500,725.00,294.75,-21072.94,1.4290,108.063,512,0.3458,1.9785,433.1
365000,730.00,291.95,-20997.18,1.4092,92.850,512,0.0852,9.4974,433.5
367500,735.00,304.53,-21093.06,1.3419,91.111,512,0.1379,6.9126,433.9
370000,740.00,276.61,-20967.10,1.4828,88.416,512,0.1044,8.4046,433.8
372500,745.00,317.68,-20992.72,1.4610,91.580,512,0.1024,8.5100,433.8
375000,750.00,293.18,-20878.61,1.3778,98.733,512,0.1348,7.0318,433.7
377500,755.00,303.34,-21096.85,1.3902,94.737,512,0.0983,8.7255,433.7
380000,760.00,292.06,-20952.75,1.3360,88.561,512,0.1357,6.9965,433.7
382500,765.00,289.67,-20798.30,1.3942,89.772,512,0.0778,9.9828,433.7
385000,770.00,286.71,-20971.76,1.3748,98.437,512,0.1352,7.0158,433.7
387500,775.00,300.71,-21198.66,1.5089,89.073,512,0.1437,6.6909,433.7
390000,780.00,299.67,-21213.00,1.3252,88.992,512,0.1637,5.9908,433.6
392500,785.00,303.38,-20965.74,1.3801,82.056,512,0.0614,11.2533,433.6
395000,790.00,300.08,-21090.57,1.4011,90.789,512,0.0791,9.8951,433.5
397500,795.00,299.78,-21126.04,1.4136,70.512,512,0.0476,12.6179,433.5
400000,800.00,290.67,-21142.82,1.4956,86.659,512,0.1072,8.2613,433.4
402500,805.00,299.05,-21132.50,1.5265,78.792,512,0.1050,8.3717,433.8
405000,810.00,288.43,-21038.09,1.3730,45.943,512,0.1649,5.9532,434.2
407500,815.00,306.30,-20929.84,1.4344,63.841,512,0.0509,12.2553,434.5
410000,820.00,290.88,-21221.73,1.4081,97.310,512,0.1093,8.1596,434.9
412500,825.00,293.89,-20838.79,1.4451,84.391,512,0.0673,10.7590,435.1
415000,830.00,292.75,-21214.55,1.3702,84.653,512,0.0732,10.3078,435.0
417500,835.00,307.19,-21244.01,1.4434,89.858,512,0.0825,9.6684,435.0
420000,840.00,321.19,-21402.16,1.5229,92.534,512,0.2153,4.5211,434.9
422500,845.00,288.53,-21162.64,1.3319,89.282,512,0.1491,6.4936,434.9
425000,850.00,310.71,-21345.38,1.4787,89.466,512,0.1066,8.2904,434.8
427500,855.00,306.52,-20951.01,1.3936,105.097,512,0.2349,4.0541,434.8
430000,860.00,311.21,-20976.25,1.4580,101.067,512,0.2072,4.7259,434.8
432500,865.00,292.93,-20765.52,1.4529,90.499,512,0.0905,9.1731,434.7
435000,870.00,303.15,-21210.99,1.4070,89.296,512,0.0738,10.2685,434.7
437500,875.00,297.06,-21269.35,1.3707,106.814,512,0.3028,2.6904,434.7
440000,880.00,308.69,-20941.26,1.3495,90.072,512,0.1189,7.7082,434.7
442500,885.00,309.30,-21103.27,1.3928,107.152,512,0.2970,2.7955,434.6
445000,890.00,293.33,-20996.98,1.4679,104.272,512,0.3032,2.6840,434.4
447500,895.00,306.33,-21241.20,1.3748,90.216,512,0.0899,9.2075,434.3
450000,900.00,305.55,-20929.42,1.4515,90.335,512,0.0888,9.2719,434.3
452500,905.00,300.26,-21176.46,1.4424,84.615,512,0.0670,10.7848,434.2
455000,910.00,292.47,-21030.54,1.5193,90.051,512,0.1741,5.6612,434.2
457500,915.00,298.81,-21130.41,1.3942,88.732,512,0.0746,10.2053,434.1
460000,920.00,297.67,-21109.48,1.3328,85.098,512,0.1227,7.5372,434.1
462500,925.00,311.10,-21156.47,1.3441,62.197,512,0.1127,7.9920,434.1
465000,930.00,291.46,-21143.29,1.5675,68.062,512,0.1587,6.1581,434.1
467500,935.00,297.20,-20724.80,1.4185,79.441,512,0.0525,12.0932,434.0
470000,940.00,312.29,-20926.60,1.5125,97.772,512,0.2701,3.3044,433.9
472500,945.00,298.39,-21059.77,1.5177,90.605,512,0.1773,5.5635,433.9
475000,950.00,299.88,-20942.66,1.5014,90.089,512,0.1410,6.7937,433.9
477500,955.00,300.84,-21172.95,1.5635,85.169,512,0.2372,4.0003,433.9
480000,960.00,313.03,-20943.91,1.3935,110.860,512,0.4091,1.0766,433.9
482500,965.00,308.93,-21003.10,1.4972,97.119,512,0.2225,4.3440,433.9
485000,970.00,314.58,-21126.38,1.3817,61.135,512,0.0650,10.9450,433.9
487500,975.00,304.14,-20942.67,1.3270,89.254,512,0.1608,6.0857,433.9
490000,980.00,302.45,-20956.28,1.4522,93.826,512,0.1087,8.1865,434.2
492500,985.00,295.62,-21025.08,1.4831,83.532,512,0.0827,9.6562,434.4
495000,990.00,304.77,-21069.58,1.4519,77.789,512,0.0558,11.7635,434.7
497500,995.00,295.98,-21189.47,1.4162,89.941,512,0.0755,10.1468,435.0
500000,1000.00,300.95,-21308.42,1.4376,66.886,512,0.0490,12.4603,435.1
