episode,kind,return,steps,peak_dT,yield,alpha,elapsed_s
46,cool,287.7669052906279,320,45.28340644363334,0.9202184079552165,0.507773756980896,520.6817226409912
47,cool_foul,293.0853951503436,320,12.608481481833849,0.9199033135351087,0.49978718161582947,529.5679728984833
48,none,291.56499661420787,320,9.56208392661722,0.9285755656710242,0.49191924929618835,538.2910611629486
49,cool,287.3061901021525,320,44.395745412038934,0.9140315815487892,0.48417186737060547,556.2481229305267
50,cool_foul,297.5294655867436,320,9.829028951958776,0.9282018777595,0.47663652896881104,566.4677379131317
51,cav,291.41177678024627,320,13.396327725830645,0.9250303564987726,0.46914833784103394,576.7020788192749
52,cool,272.2399851342573,320,47.874717293082995,0.9221845455367904,0.4617813229560852,600.4742739200592
53,all,286.81581901345135,320,8.839673723747353,0.8966947014736959,0.45453357696533203,609.3672666549683
54,cav_imp,291.1026515262235,320,10.433882302557151,0.9082394622638119,0.44739148020744324,618.48970246315
55,cav_imp,288.2345446200369,320,15.236700457623897,0.8876084892403798,0.4403517246246338,628.1996693611145
56,cav_imp,292.1033358086928,320,16.281075673979217,0.9025999812943546,0.43347203731536865,637.8169062137604
57,cool,294.8299901869439,320,41.204640904554424,0.9316105953701473,0.42672356963157654,653.1909883022308
58,foul,295.7687834185708,320,10.158631169371574,0.9270493836259996,0.4200674891471863,662.5044000148773
59,none,288.9683124814103,320,11.691852206495298,0.9194336799233339,0.41348451375961304,672.172721862793
60,cool_foul,291.37743291488067,320,13.197741518125952,0.9201188988176988,0.40695950388908386,681.7174038887024
61,foul,292.0660529750506,320,17.74791441564156,0.9247207688256962,0.4005601704120636,691.0190110206604
62,cool_foul,291.3447817365648,320,14.080115793721404,0.9100220891858433,0.3942429721355438,700.4708065986633
63,cool_foul,294.73371860044415,320,16.155909352009644,0.9251348031852452,0.3880462050437927,710.8816523551941
64,none,291.7944023852576,320,10.070848451694872,0.9238906367561114,0.38193774223327637,719.5894167423248
