time_s,FID,Hahn,CPMG1,CPMG4,CPMG16,CPMG64,UDD1,UDD4,UDD16,UDD64
6.68740304976e-08,0.999996331501,0.999996656304,0.999996656304,0.999996656304,0.999996656304,0.999996656304,0.999996656304,0.999996656304,0.999996656304,0.999996656304
7.5905748211e-08,0.99999578626,0.99999620472,0.99999620472,0.99999620472,0.99999620472,0.99999620472,0.99999620472,0.99999620472,0.99999620472,0.99999620472
8.61572507084e-08,0.999995153024,0.999995692147,0.999995692147,0.999995692147,0.999995692147,0.999995692147,0.999995692147,0.999995692147,0.999995692147,0.999995692147
9.77932768543e-08,0.999994415769,0.999995110348,0.999995110348,0.999995110348,0.999995110348,0.999995110348,0.999995110348,0.999995110348,0.999995110348,0.999995110348
1.11000814433e-07,0.999993555113,0.999994449975,0.999994449975,0.999994449975,0.999994449975,0.999994449975,0.999994449975,0.999994449975,0.999994449975,0.999994449975
1.25992104989e-07,0.99999254752,0.999993700415,0.999993700415,0.999993700415,0.999993700415,0.999993700414,0.999993700415,0.999993700415,0.999993700415,0.999993700414
1.43008054498e-07,0.999991364292,0.999992849623,0.999992849623,0.999992849623,0.999992849623,0.999992849623,0.999992849623,0.999992849623,0.999992849623,0.999992849623
1.62322104651e-07,0.999989970304,0.999991883928,0.999991883928,0.999991883928,0.999991883928,0.999991883928,0.999991883928,0.999991883928,0.999991883928,0.999991883928
1.84244626995e-07,0.999988322398,0.999990787811,0.999990787811,0.999990787811,0.999990787811,0.999990787811,0.999990787811,0.999990787811,0.999990787811,0.999990787811
2.09127910518e-07,0.99998636735,0.999989543659,0.999989543659,0.999989543659,0.999989543659,0.999989543659,0.999989543659,0.999989543659,0.999989543659,0.999989543659
2.37371822837e-07,0.999984039292,0.999988131479,0.999988131479,0.999988131479,0.999988131479,0.999988131479,0.999988131479,0.999988131479,0.999988131479,0.999988131479
2.69430235961e-07,0.999981256427,0.999986528579,0.999986528579,0.999986528579,0.999986528579,0.999986528579,0.999986528579,0.999986528579,0.999986528579,0.999986528579
3.05818319893e-07,0.999977916855,0.999984709201,0.999984709201,0.999984709201,0.999984709201,0.999984709201,0.999984709201,0.999984709201,0.999984709201,0.999984709201
3.47120821272e-07,0.999973893243,0.99998264411,0.99998264411,0.99998264411,0.99998264411,0.999982644109,0.99998264411,0.99998264411,0.99998264411,0.999982644109
3.94001460091e-07,0.999969026027,0.999980300121,0.999980300121,0.999980300121,0.999980300121,0.999980300121,0.999980300121,0.999980300121,0.999980300121,0.999980300121
4.472135955e-07,0.999963114732,0.99997763957,0.99997763957,0.99997763957,0.99997763957,0.99997763957,0.99997763957,0.99997763957,0.99997763957,0.99997763957
5.07612332081e-07,0.999955906862,0.999974619705,0.999974619705,0.999974619705,0.999974619705,0.999974619705,0.999974619705,0.999974619705,0.999974619705,0.999974619705
5.76168261147e-07,0.999947083692,0.999971192002,0.999971192002,0.999971192002,0.999971192002,0.999971192002,0.999971192002,0.999971192002,0.999971192002,0.999971192002
6.53983057882e-07,0.999936242068,0.999967301382,0.999967301382,0.999967301382,0.999967301382,0.999967301382,0.999967301382,0.999967301382,0.999967301382,0.999967301382
7.42307184963e-07,0.999922871091,0.99996288533,0.99996288533,0.99996288533,0.999962885329,0.999962885329,0.99996288533,0.99996288533,0.999962885329,0.999962885329
8.42559987153e-07,0.999906322234,0.999957872888,0.999957872888,0.999957872888,0.999957872888,0.999957872888,0.999957872888,0.999957872888,0.999957872888,0.999957872888
9.5635249979e-07,0.999885771007,0.999952183518,0.999952183518,0.999952183518,0.999952183518,0.999952183518,0.999952183518,0.999952183518,0.999952183518,0.999952183518
1.08551333769e-06,0.999860167802,0.999945725806,0.999945725806,0.999945725806,0.999945725806,0.999945725806,0.999945725806,0.999945725806,0.999945725806,0.999945725806
1.23211808047e-06,0.999828174826,0.999938395994,0.999938395994,0.999938395994,0.999938395994,0.999938395993,0.999938395994,0.999938395994,0.999938395994,0.999938395993
