time_s,readout_probability
1.76e-05,0.722655819658
1.78e-05,0.774375406603
1.8e-05,0.821270552762
1.82e-05,0.862554870429
1.84e-05,0.897540755266
1.86e-05,0.925650757396
1.88e-05,0.946426950769
1.9e-05,0.959538167627
1.92e-05,0.96478501121
1.94e-05,0.962102603109
1.96e-05,0.951561060087
1.98e-05,0.933363728336
2e-05,0.907843231254
2.02e-05,0.875455411272
2.04e-05,0.836771268782
2.06e-05,0.792467023651
2.08e-05,0.743312448698
2.1e-05,0.690157650616
2.12e-05,0.633918502002
2.14e-05,0.575560957206
2.16e-05,0.516084512726
2.18e-05,0.456505097326
2.2e-05,0.397837695377
2.22e-05,0.341079017051
2.24e-05,0.287190529483
2.26e-05,0.237082153583
2.28e-05,0.191596912563
2.3e-05,0.151496792272
2.32e-05,0.117450042316
2.34e-05,0.0900201135542
2.36e-05,0.069656394075
2.38e-05,0.0566868741139
2.4e-05,0.0513128414241
2.42e-05,0.0536056822891
2.44e-05,0.0635058387314
2.46e-05,0.0808239479783
2.48e-05,0.105244164115
2.5e-05,0.136329632527
2.52e-05,0.173530054218
2.54e-05,0.216191239298
2.56e-05,0.263566507746
2.58e-05,0.314829752712
2.6e-05,0.369089939769
2.62e-05,0.425406777268
2.64e-05,0.482807261353
2.66e-05,0.540302776228
2.68e-05,0.596906417764
2.7e-05,0.651650206798
2.72e-05,0.703601867233
2.74e-05,0.751880861877
2.76e-05,0.795673404001
2.78e-05,0.834246192536
2.8e-05,0.866958651556
2.82e-05,0.893273488135
2.84e-05,0.912765415701
2.86e-05,0.925127921601
2.88e-05,0.930177987902
2.9e-05,0.927858703655
2.92e-05,0.918239735722
2.94e-05,0.901515654631
2.96e-05,0.878002142459
2.98e-05,0.848130141756
3e-05,0.812438038206
3.02e-05,0.771562004337
3.04e-05,0.726224666521
3.06e-05,0.677222291233
3.08e-05,0.625410717831
3.1e-05,0.571690292321
3.12e-05,0.516990078308
3.14e-05,0.462251636552
3.16e-05,0.408412672316
3.18e-05,0.35639084988
3.2e-05,0.307068066177
3.22e-05,0.2612754613
3.24e-05,0.219779423391
3.26e-05,0.183268820633
3.28e-05,0.152343664856
3.3e-05,0.127505381151
3.32e-05,0.109148826801
3.34e-05,0.0975561717993
3.36e-05,0.092892722525
3.38e-05,0.0952047401233
3.4e-05,0.104419275406
3.42e-05,0.120346012532
3.44e-05,0.142681083829
3.46e-05,0.171012787766
3.48e-05,0.204829111234
3.5e-05,0.243526926446
3.52e-05,0.286422702559
3.54e-05,0.332764543763
3.56e-05,0.381745340233
3.58e-05,0.432516797366
3.6e-05,0.484204093118
3.62e-05,0.535920903898
3.64e-05,0.586784536457
3.66e-05,0.635930906423
3.68e-05,0.682529112675
3.7e-05,0.725795369703
3.72e-05,0.765006075999
3.74e-05,0.799509814417
3.76e-05,0.828738099204
3.78e-05,0.852214703728
3.8e-05,0.869563422665
3.82e-05,0.880514143108
3.84e-05,0.884907121336
3.86e-05,0.882695386773
3.88e-05,0.873945222541
3.9e-05,0.858834703321
3.92e-05,0.837650305705
3.94e-05,0.810781643028
3.96e-05,0.778714414399
3.98e-05,0.74202169458
4e-05,0.701353725519
4.02e-05,0.657426400027
4.04e-05,0.611008651964
4.06e-05,0.562908984472
4.08e-05,0.513961378484
4.1e-05,0.465010828266
4.12e-05,0.416898750446
4.14e-05,0.370448509171
4.16e-05,0.326451293987
4.18e-05,0.285652579873
4.2e-05,0.248739391052
4.22e-05,0.216328581558
4.24e-05,0.188956335383
4.26e-05,0.167069076114
4.28e-05,0.151015958929
4.3e-05,0.141043095429
4.32e-05,0.137289633104
4.34e-05,0.139785776343
4.36e-05,0.148452795212
4.38e-05,0.163105023501
4.4e-05,0.183453800794
4.42e-05,0.20911326714
4.44e-05,0.23960787604
4.46e-05,0.27438145415
4.48e-05,0.312807606213
4.5e-05,0.354201242184
4.52e-05,0.397830990459
4.54e-05,0.442932255804
4.56e-05,0.488720681667
4.58e-05,0.534405782333
4.6e-05,0.57920451906
4.62e-05,0.622354604383
4.64e-05,0.663127329086
4.66e-05,0.700839716481
4.68e-05,0.734865818698
4.7e-05,0.764646980338
4.72e-05,0.789700907063
4.74e-05,0.809629391553
4.76e-05,0.824124567757
4.78e-05,0.832973586923
4.8e-05,0.83606163574
4.82e-05,0.833373247442
4.84e-05,0.824991889921
4.86e-05,0.811097849366
4.88e-05,0.791964462028
4.9e-05,0.767952778848
4.92e-05,0.739504776381
4.94e-05,0.707135251836
4.96e-05,0.671422559453
4.98e-05,0.632998359961
5e-05,0.592536564872
5.02e-05,0.550741663692
5.04e-05,0.508336625627
5.06e-05,0.466050569008
5.08e-05,0.424606392162
5.1e-05,0.384708559156
5.12e-05,0.347031232838
5.14e-05,0.312206945444
5.16e-05,0.280815993154
5.18e-05,0.253376734352
5.2e-05,0.230336961265
5.22e-05,0.212066500285
5.24e-05,0.198851177237
5.26e-05,0.19088826018
5.28e-05,0.188283464452
5.3e-05,0.191049573563
5.32e-05,0.199106696429
5.34e-05,0.212284147878
5.36e-05,0.230323906791
5.38e-05,0.252885576065
5.4e-05,0.279552741823
5.42e-05,0.309840606576
5.44e-05,0.343204752446
5.46e-05,0.379050875889
5.48e-05,0.416745323909
5.5e-05,0.455626252841
5.52e-05,0.495015223543
5.54e-05,0.534229040839
5.56e-05,0.572591640044
5.58e-05,0.609445819492
5.6e-05,0.644164615993
5.62e-05,0.676162120761
5.64e-05,0.704903537803
