B_t,total_echo_time_s,normalized_quadrature
0.00641040786793,4.03880756816e-05,0.502355618815
0.00641040786793,4.06188646855e-05,0.499370574834
0.00641040786793,4.08496536894e-05,0.512190663373
0.00641040786793,4.10804426933e-05,0.540364303772
0.00641040786793,4.13112316972e-05,0.582845176796
0.00641040786793,4.15420207011e-05,0.637746314124
0.00641040786793,4.1772809705e-05,0.701954767215
0.00641040786793,4.20035987089e-05,0.770871029319
0.00641040786793,4.22343877128e-05,0.838584930064
0.00641040786793,4.24651767167e-05,0.89865527615
0.00641040786793,4.26959657206e-05,0.945358086879
0.00641040786793,4.29267547244e-05,0.97497807795
0.00641040786793,4.31575437283e-05,0.986636811539
0.00641040786793,4.33883327322e-05,0.982343945854
0.00641040786793,4.36191217361e-05,0.966302892546
0.00641040786793,4.384991074e-05,0.943789186387
0.00641040786793,4.40806997439e-05,0.920008462247
0.00641040786793,4.43114887478e-05,0.899235023045
0.00641040786793,4.45422777517e-05,0.88433786572
0.00641040786793,4.47730667556e-05,0.876636930191
0.00641040786793,4.50038557595e-05,0.875965911146
0.00641040786793,4.52346447634e-05,0.880851284299
0.00641040786793,4.54654337673e-05,0.888799602435
0.00641040786793,4.56962227712e-05,0.896740828563
0.00641040786793,4.59270117751e-05,0.901646849979
0.00641040786793,4.6157800779e-05,0.901237286944
0.00641040786793,4.63885897829e-05,0.894576630187
0.00641040786793,4.66193787868e-05,0.882351505309
0.00641040786793,4.68501677907e-05,0.866724403607
0.00641040786793,4.70809567946e-05,0.850826792311
0.00641040786793,4.73117457984e-05,0.838075452219
0.00641040786793,4.75425348023e-05,0.831508771908
0.00641040786793,4.77733238062e-05,0.833261877462
0.00641040786793,4.80041128101e-05,0.844199509019
0.00641040786793,4.8234901814e-05,0.863669494876
0.00641040786793,4.84656908179e-05,0.889355904262
0.00641040786793,4.86964798218e-05,0.917283086259
0.00641040786793,4.89272688257e-05,0.942096383096
0.00641040786793,4.91580578296e-05,0.957750305826
0.00641040786793,4.93888468335e-05,0.958618102195
0.00641040786793,4.96196358374e-05,0.940817819504
0.00641040786793,4.98504248413e-05,0.903344472706
0.00641040786793,5.00812138452e-05,0.84856085034
0.00641040786793,5.03120028491e-05,0.781806133696
0.00641040786793,5.0542791853e-05,0.710243707123
0.00641040786793,5.07735808569e-05,0.64138121661
0.00641040786793,5.10043698608e-05,0.581781486138
0.00641040786793,5.12351588647e-05,0.536317341261
0.00641040786793,5.14659478686e-05,0.508027016362
0.00641040786793,5.16967368725e-05,0.498363924933
0.00641040786793,5.19275258763e-05,0.507517407008
0.00641040786793,5.21583148802e-05,0.534538579874
0.00641040786793,5.23891038841e-05,0.577197747039
0.00641040786793,5.2619892888e-05,0.631736465054
0.00641040786793,5.28506818919e-05,0.692834820707
0.00641040786793,5.30814708958e-05,0.754082739107
0.00641040786793,5.33122598997e-05,0.80900510358
0.00641040786793,5.35430489036e-05,0.852366152833
0.00641040786793,5.37738379075e-05,0.881274301375
0.00641040786793,5.40046269114e-05,0.895665281951
0.00641040786793,5.42354159153e-05,0.898022234491
0.00641040786793,5.44662049192e-05,0.892511839905
0.00641040786793,5.46969939231e-05,0.883891821047
0.00641040786793,5.4927782927e-05,0.876518966147
0.00641040786793,5.51585719309e-05,0.873632962761
0.00641040786793,5.53893609348e-05,0.876932635238
0.00641040786793,5.56201499387e-05,0.886382863255
0.00641040786793,5.58509389426e-05,0.90020732388
0.00641040786793,5.60817279465e-05,0.915091169059
0.00641040786793,5.63125169503e-05,0.926667540569
0.00641040786793,5.65433059542e-05,0.93032872062
0.00641040786793,5.67740949581e-05,0.922271829604
0.00641040786793,5.7004883962e-05,0.90052234688
0.00641040786793,5.72356729659e-05,0.865593381351
0.00641040786793,5.74664619698e-05,0.820525077084
0.00641040786793,5.76972509737e-05,0.770286343202
0.00641040786793,5.79280399776e-05,0.720775805148
0.00641040786793,5.81588289815e-05,0.677778330192
0.00641040786793,5.83896179854e-05,0.646161023895
0.00641040786793,5.86204069893e-05,0.629398364042
0.00641040786793,5.88511959932e-05,0.629332651677
0.00641040786793,5.90819849971e-05,0.646007407377
0.00641040786793,5.9312774001e-05,0.677483724076
0.00641040786793,5.95435630049e-05,0.719711142818
0.00641040786793,5.97743520088e-05,0.766672115632
0.00641040786793,6.00051410127e-05,0.811039033183
0.00641040786793,6.02359300166e-05,0.845412822171
0.00641040786793,6.04667190205e-05,0.863905027575
0.00641040786793,6.06975080244e-05,0.863555181714
0.00641040786793,6.09282970282e-05,0.845039214966
0.00641040786793,6.11590860321e-05,0.81238853846
0.00641040786793,6.1389875036e-05,0.771863241843
0.00641040786793,6.16206640399e-05,0.730453776219
0.00641040786793,6.18514530438e-05,0.6945458927
0.00641040786793,6.20822420477e-05,0.669086069777
0.00641040786793,6.23130310516e-05,0.657287795945
0.00641040786793,6.25438200555e-05,0.660693562999
0.00641040786793,6.27746090594e-05,0.679338020834
0.00641040786793,6.30053980633e-05,0.711833977768
0.00641040786793,6.32361870672e-05,0.755360556223
0.00641040786793,6.34669760711e-05,0.805690069479
0.00641040786793,6.3697765075e-05,0.857465670593
0.00641040786793,6.39285540789e-05,0.904877932291
0.00641040786793,6.41593430828e-05,0.94269256922
0.00641040786793,6.43901320867e-05,0.96735144542
0.00641040786793,6.46209210906e-05,0.977752818833
0.00641040786793,6.48517100945e-05,0.975408621621
0.00641040786793,6.50824990984e-05,0.963933014038
0.00641040786793,6.53132881022e-05,0.948080550404
0.00641040786793,6.55440771061e-05,0.932673494524
0.00641040786793,6.577486611e-05,0.921699027673
0.00641040786793,6.60056551139e-05,0.9177000472
0.00641040786793,6.62364441178e-05,0.921447550656
0.00641040786793,6.64672331217e-05,0.931840339002
0.00641040786793,6.66980221256e-05,0.946021516328
0.00641040786793,6.69288111295e-05,0.959764470802
0.00641040786793,6.71596001334e-05,0.968184016456
0.00641040786793,6.73903891373e-05,0.966729605201
0.00641040786793,6.76211781412e-05,0.952251988642
0.00641040786793,6.78519671451e-05,0.923810090425
0.00641040786793,6.8082756149e-05,0.882915091379
0.00641040786793,6.83135451529e-05,0.83311801506
0.00641040786793,6.85443341568e-05,0.779128121229
0.00641040786793,6.87751231607e-05,0.725831444373
0.00641040786793,6.90059121646e-05,0.677556693612
0.00641040786793,6.92367011685e-05,0.637743749251
0.00641040786793,6.94674901724e-05,0.608940174054
0.00641040786793,6.96982791763e-05,0.592909655142
0.00641040786793,6.99290681801e-05,0.590633972653
0.00641040786793,7.0159857184e-05,0.602104271999
0.00641040786793,7.03906461879e-05,0.625968208147
0.00641040786793,7.06214351918e-05,0.659254080534
0.00641040786793,7.08522241957e-05,0.697453625723
0.00641040786793,7.10830131996e-05,0.735150842448
0.00641040786793,7.13138022035e-05,0.767140439671
0.00641040786793,7.15445912074e-05,0.789695609692
0.00641040786793,7.17753802113e-05,0.801496604286
0.00641040786793,7.20061692152e-05,0.803840291655
0.00641040786793,7.22369582191e-05,0.80007201334
0.00641040786793,7.2467747223e-05,0.794519348883
0.00641040786793,7.26985362269e-05,0.791362603065
0.00641040786793,7.29293252308e-05,0.793790684918
0.00641040786793,7.31601142347e-05,0.803566729387
0.00641040786793,7.33909032386e-05,0.820926393808
0.00641040786793,7.36216922425e-05,0.844655376688
0.00641040786793,7.38524812464e-05,0.872242128706
0.00641040786793,7.40832702503e-05,0.900107132391
0.00641040786793,7.43140592541e-05,0.923985413976
0.00641040786793,7.4544848258e-05,0.939525587449
0.00641040786793,7.47756372619e-05,0.943063679604
0.00641040786793,7.50064262658e-05,0.932393559278
0.00641040786793,7.52372152697e-05,0.907284017215
0.00641040786793,7.54680042736e-05,0.869553161579
0.00641040786793,7.56987932775e-05,0.822684105158
0.00641040786793,7.59295822814e-05,0.771148634237
0.00641040786793,7.61603712853e-05,0.719686676559
0.00641040786793,7.63911602892e-05,0.672733807489
0.00641040786793,7.66219492931e-05,0.634054411689
0.00641040786793,7.6852738297e-05,0.606519416625
0.00641040786793,7.70835273009e-05,0.591928843846
0.00641040786793,7.73143163048e-05,0.590826406209
0.00641040786793,7.75451053087e-05,0.602346708214
0.00641040786793,7.77758943126e-05,0.624216323425
0.00641040786793,7.80066833165e-05,0.653040796617
0.00641040786793,7.82374723204e-05,0.684919264464
0.00641040786793,7.84682613243e-05,0.716262108777
0.00641040786793,7.86990503282e-05,0.744536657566
0.00641040786793,7.8929839332e-05,0.768645371336
0.00641040786793,7.91606283359e-05,0.788796729999
0.00641040786793,7.93914173398e-05,0.805980493104
0.00641040786793,7.96222063437e-05,0.821342745046
0.00641040786793,7.98529953476e-05,0.835753236748
0.00641040786793,8.00837843515e-05,0.849687767067
0.00641040786793,8.03145733554e-05,0.86334334073
0.00641040786793,8.05453623593e-05,0.876794826418
0.00641040786793,8.07761513632e-05,0.890031761077
0.00641040786793,8.10069403671e-05,0.902835671064
0.00641040786793,8.1237729371e-05,0.914588925774
0.00641040786793,8.14685183749e-05,0.924176651662
0.00641040786793,8.16993073788e-05,0.930119060772
0.00641040786793,8.19300963827e-05,0.930959124111
0.00641040786793,8.21608853866e-05,0.925781674349
0.00641040786793,8.23916743905e-05,0.914639968032
0.00641040786793,8.26224633944e-05,0.89868715818
0.00641040786793,8.28532523983e-05,0.879953681499
0.00641040786793,8.30840414022e-05,0.860889686936
0.00641040786793,8.3314830406e-05,0.843887939098
0.00641040786793,8.35456194099e-05,0.830962722795
0.00641040786793,8.37764084138e-05,0.823629630984
0.00641040786793,8.40071974177e-05,0.822908025965
0.00641040786793,8.42379864216e-05,0.829324277119
0.00641040786793,8.44687754255e-05,0.842835568841
0.00641040786793,8.46995644294e-05,0.862678771599
0.00641040786793,8.49303534333e-05,0.887224722881
0.00641040786793,8.51611424372e-05,0.913948822869
0.00641040786793,8.53919314411e-05,0.939600338651
0.00641040786793,8.5622720445e-05,0.960576861289
