B_t,modulation_frequency_hz,amplitude
0.0095656118019,2141092.58526,2.28375184299e-09
0.0095656118019,2149555.40181,2.26066120907e-09
0.0095656118019,2158018.21835,2.22815437586e-09
0.0095656118019,2166481.03489,2.23636739481e-09
0.0103544127854,0,0.000860016778884
0.0103544127854,8462.81654255,0.00328704683195
0.0103544127854,16925.6330851,0.0123991951857
0.0103544127854,25388.4496276,0.0103748871957
0.0103544127854,33851.2661702,0.00274067374137
0.0103544127854,42314.0827127,0.00346570987254
0.0103544127854,50776.8992553,0.00398235212669
0.0103544127854,59239.7157978,0.00083765833405
0.0103544127854,67702.5323404,0.00037105554823
0.0103544127854,76165.3488829,0.000294017104707
0.0103544127854,84628.1654255,0.00167543094865
0.0103544127854,93090.981968,0.00531269542742
0.0103544127854,101553.798511,0.0424689345861
0.0103544127854,110016.615053,0.052318198933
0.0103544127854,118479.431596,0.0141629682815
0.0103544127854,126942.248138,0.0136478683174
0.0103544127854,135405.064681,0.0105515460305
0.0103544127854,143867.881223,0.0479327867986
0.0103544127854,152330.697766,0.0874982700454
0.0103544127854,160793.514308,0.0566117846897
0.0103544127854,169256.330851,0.0893031516527
0.0103544127854,177719.147394,0.0947684498631
0.0103544127854,186181.963936,0.0200680394664
0.0103544127854,194644.780479,0.00384864935967
0.0103544127854,203107.597021,0.00504284878096
0.0103544127854,211570.413564,0.0158379720976
0.0103544127854,220033.230106,0.00445197468482
0.0103544127854,228496.046649,0.0166212455866
0.0103544127854,236958.863191,0.00960400163771
0.0103544127854,245421.679734,0.00160513202404
0.0103544127854,253884.496276,0.00237390477417
0.0103544127854,262347.312819,0.00437863401865
0.0103544127854,270810.129362,0.0389087070816
0.0103544127854,279272.945904,0.106779303038
0.0103544127854,287735.762447,0.0718567231224
0.0103544127854,296198.578989,0.0603833268582
0.0103544127854,304661.395532,0.0774083669004
0.0103544127854,313124.212074,0.0218285490282
0.0103544127854,321587.028617,0.00797532945806
0.0103544127854,330049.845159,0.0049071523413
0.0103544127854,338512.661702,0.00183164556362
0.0103544127854,346975.478245,0.00167621991602
0.0103544127854,355438.294787,0.000914514137264
0.0103544127854,363901.11133,0.00095665703453
