omega_t,CPMG1,CPMG4,CPMG16,CPMG64,UDD1,UDD4,UDD16,UDD64
64.5654229035,0.497643922665,74.219543822,25.5251287926,0.0470362015838,0.497643922665,15.2265471715,106.934729539,2.97578917249e-24
65.3130552647,1.82667270649,65.4642668446,36.815400749,0.0762759510895,1.82667270649,19.548649483,98.0232787875,1.08649012768e-23
66.0693448008,4.39263891361,50.0058110461,38.5880329699,0.0895523812074,4.39263891361,23.2745417721,71.3915775977,4.08130211855e-23
66.8343917569,8.03496522026,31.4318177184,30.1367220275,0.07807247359,8.03496522026,26.0321199649,37.3133735781,1.48089093934e-22
67.6082975392,11.9631218512,14.453806496,16.1659347857,0.0466029174617,11.9631218512,27.4605417123,9.64115671875,5.40858095675e-22
68.3911647281,14.9801939382,3.2911043661,4.1122197315,0.0131534519895,14.9801939382,27.2484883532,0.0598424064813,1.9525478806e-21
69.1830970919,15.9907382578,0.0267218616351,0.0361517144948,0.000127961745792,15.9907382578,25.2272105241,12.7019554562,6.99504311787e-21
69.9841996002,14.5473084271,3.69471401055,5.28561570966,0.0206517536728,14.5473084271,21.4947204636,41.6916523531,2.49196545439e-20
70.7945784384,11.1240133519,10.6524154779,15.8176519745,0.0680632077738,11.1240133519,16.5106528929,73.2016594097,8.81383047957e-20
71.6143410213,6.92377372937,16.2372185514,24.6493747615,0.116560995033,6.92377372937,11.0808495772,91.6218325868,3.09934842392e-19
72.4435960075,3.28808307347,17.0281222781,26.0915114582,0.135317382236,3.28808307347,6.17441123955,87.2598579941,1.08283430112e-18
73.2824533139,1.03748135434,12.5886680026,19.2513571538,0.109297193148,1.03748135434,2.5971700466,61.7565192089,3.75936456631e-18
74.1310241301,0.150696930734,5.67969163354,8.57975252878,0.053229575088,0.150696930734,0.658211176238,28.0056203312,1.29672514621e-17
74.9894209332,0.00173344504923,0.660082718485,0.975267456337,0.00660109731566,0.00173344504923,0.038389964065,3.90128908496,4.44318212248e-17
75.8577575029,0.00276265699609,0.83129675119,1.18945675679,0.00876962385295,0.00276265699609,0.0173373328994,2.65295012828,1.51206727947e-16
76.7361489362,0.185820587353,6.24120556728,8.55851935305,0.0686333223741,0.185820587353,0.010003834724,24.8626747378,5.10975173467e-16
77.6247116629,1.24655641342,13.3981688307,17.4072069079,0.151624298019,1.24655641342,0.0955027047325,57.3253402814,1.71429582716e-15
78.523563461,3.93525335085,17.3291638079,21.0517155805,0.198912384338,3.93525335085,1.08926045963,80.1376906894,5.70873276592e-15
79.4328234724,8.20037137306,14.9333850467,16.6969248915,0.170925167716,8.20037137306,3.90486402489,78.67642334,1.88654906107e-14
80.3526122186,12.7775917676,7.54926067564,7.61737881211,0.0843835125427,12.7775917676,8.47407752731,53.2993661263,6.1854347214e-14
81.2830516164,15.6852341708,0.863911903676,0.766845019251,0.00918235211848,15.6852341708,13.0405676264,20.0457128281,2.01161374819e-13
82.2242649947,15.4195857938,1.82711575386,1.37822425454,0.0178194620688,15.4195857938,14.7239170849,0.759018778803,6.48761178499e-13
83.1763771103,12.0187232426,14.2330334985,8.6845568089,0.121116992515,12.0187232426,11.5428015942,8.2642437984,2.07434256456e-12
84.1395141645,7.13029385571,35.7560584631,16.3713274198,0.24603495221,7.13029385571,4.83313948284,36.6552429157,6.57380867197e-12
85.1138038202,2.92485726648,58.5446088387,17.7408373919,0.28703308462,2.92485726648,0.0804433962361,64.4800106335,2.06431186853e-11
86.0993752185,0.653704302559,73.2546535441,11.4999573944,0.200125950473,0.653704302559,4.62070497112,69.986041845,6.42142215065e-11
87.0963589956,0.0344165426933,74.0896915239,3.10619915276,0.0580902930708,0.0344165426933,22.7003952471,48.0766626591,1.97813371469e-10
88.1048873008,2.41917817139e-05,61.6801741275,0.0850491902758,0.00170781609796,2.41917817139e-05,50.8939449861,15.7201759899,6.03273156668e-10
89.1250938134,0.107157038716,42.1030488655,5.13688287252,0.110664175334,0.107157038716,77.7749455995,0.000740365066073,1.82081552862e-09
90.1571137606,1.17971618776,22.9840184602,13.3647021505,0.30863965002,1.17971618776,89.5519863987,16.6060275045,5.4370708891e-09
91.2010839356,4.38844419148,9.47183111568,16.6751694396,0.412480630924,4.38844419148,78.9217313956,55.7785437,1.60567675618e-08
92.2571427155,9.53865635905,2.574127445,11.6514305519,0.30847145666,9.53865635905,50.9111264963,88.5940801301,4.68797536137e-08
93.3254300797,14.3721411566,0.294866629326,3.25099399137,0.0920492111665,14.3721411566,20.4699711243,90.0717603566,1.35263036127e-07
94.4060876286,15.9499425191,0.00374635722605,0.101905995053,0.00308347292751,15.9499425191,2.45211931589,59.9497599768,3.85535253245e-07
95.4992586021,13.1120787101,0.0768439517759,5.55742497847,0.179564207665,13.1120787101,1.25689688555,22.0247324617,1.08506605315e-06
96.605087899,7.6415630748,0.0611543243049,13.7668200267,0.474628698185,7.6415630748,8.74153027003,1.57306319135,3.01413086338e-06
97.7237220956,2.77957371896,0.0163777869969,15.6171040377,0.574064657095,2.77957371896,12.6018788121,2.20542561563,8.2599735169e-06
98.8553094657,0.438035310275,0.00110305723106,8.84947059406,0.346560145437,0.438035310275,7.93657562969,6.47774947953,2.23198794573e-05
100,0.00490951663846,1.34073642372e-06,1.10160066767,0.0459241118298,0.00490951663846,1.05638495206,1.80137038254,5.9439620183e-05
101.157945426,0.0095011655311,3.60625267859e-06,1.52187021583,0.0674830119648,0.0095011655311,1.54529803561,4.43907662298,0.000155916785134
102.329299228,0.570743559708,0.00163270242697,9.82014631733,0.462773263378,0.570743559708,10.5886637888,50.8785985752,0.000402615262119
103.514216668,3.39231734164,0.0216493119327,15.9693434262,0.799078226189,3.39231734164,18.4765512965,157.577275734,0.00102282384825
104.712854805,8.96414505593,0.0715480255323,12.1515484994,0.645039492183,8.96414505593,15.3215096828,288.31070758,0.00255470550292
105.925372518,14.483711297,0.0580315435762,2.9997822221,0.168762416912,14.483711297,4.15269454932,369.580873649,0.00626914160801
107.151930524,15.7731605803,0.0258127314571,0.461964943075,0.0275156305116,15.7731605803,0.906414493839,348.723290149,0.0151035896622
