time_s,FID_real,FID_imag,FID_abs,Hahn_real,Hahn_imag,Hahn_abs,CPMG1_real,CPMG1_imag,CPMG1_abs,CPMG4_real,CPMG4_imag,CPMG4_abs,CPMG16_real,CPMG16_imag,CPMG16_abs,CPMG64_real,CPMG64_imag,CPMG64_abs,UDD1_real,UDD1_imag,UDD1_abs,UDD4_real,UDD4_imag,UDD4_abs,UDD16_real,UDD16_imag,UDD16_abs,UDD64_real,UDD64_imag,UDD64_abs
1.08551333769e-06,0.998774150863,0.0262369575626,0.999118702845,0.999919650918,-9.46126453495e-16,0.999919650918,0.999919650918,-9.46126453495e-16,0.999919650918,0.999945689114,2.94250486793e-13,0.999945689114,0.999945725668,-1.75011812542e-14,0.999945725668,0.999945725808,-5.86468185436e-15,0.999945725808,0.999919650918,-1.42774786843e-15,0.999919650918,0.999945725699,-2.23403899943e-14,0.999945725699,0.999945725807,1.79508917651e-14,0.999945725807,0.99994572581,-2.05488823947e-14,0.99994572581
1.23211808047e-06,0.998441434714,0.0297728066573,0.998885237938,0.999895916145,-2.87082001293e-15,0.999895916145,0.999895916145,-2.87082001293e-15,0.999895916145,0.999938321195,8.52522529024e-13,0.999938321195,0.999938395713,-4.37427661354e-15,0.999938395713,0.999938395997,1.19041605175e-14,0.999938395997,0.999895916145,-2.14808450889e-15,0.999895916145,0.999938395618,-1.20453443636e-14,0.999938395618,0.999938395994,-2.89276943909e-14,0.999938395994,0.999938395997,-6.85356039154e-14,0.999938395997
1.39852262659e-06,0.998021416589,0.0337829682526,0.998593028673,0.999861230425,-7.62270450022e-16,0.999861230425,0.999861230425,-7.62270450022e-16,0.999861230425,0.999929926,2.4943524283e-12,0.999929926,0.999930075753,-1.17703218138e-15,0.999930075753,0.999930076315,-3.71428573058e-14,0.999930076315,0.999861230425,5.9727642158e-15,0.999861230425,0.99993007501,9.5866966125e-15,0.99993007501,0.999930076315,9.12604579663e-15,0.999930076315,0.999930076317,5.09780110034e-14,0.999930076317
1.58740105197e-06,0.997493311962,0.0383302166983,0.998229489106,0.999809791369,6.73968860599e-15,0.999809791369,0.999809791369,6.73968860599e-15,0.999809791369,0.999920336633,7.2568270414e-12,0.999920336633,0.999920632004,-1.34487962769e-14,0.999920632004,0.999920633096,-1.0728854393e-14,0.999920633096,0.999809791369,-3.88542229197e-16,0.999809791369,0.999920628602,-8.97682217702e-15,0.999920628602,0.999920633098,-2.68551348392e-14,0.999920633098,0.999920633101,4.53963241263e-14,0.999920633101
1.80178858166e-06,0.996832450493,0.0434853517809,0.99778049198,0.999732938859,2.07044330395e-15,0.999732938859,0.999732938859,2.07044330395e-15,0.999732938859,0.999909344146,2.04444300576e-11,0.999909344146,0.999909912557,1.59462772501e-15,0.999909912557,0.999909914625,3.47561674203e-14,0.999909914625,0.999732938859,5.26587840543e-15,0.999732938859,0.999909899253,-2.40929048644e-14,0.999909899253,0.99990991463,-2.3288523527e-14,0.99990991463,0.999909914633,-2.7188250878e-14,0.999909914633
2.04513036513e-06,0.996009899086,0.0493281556601,0.997230658383,0.999618103885,1.45390860929e-14,0.999618103885,0.999618103885,1.45390860929e-14,0.999618103885,0.999896686106,5.55663765411e-11,0.999896686106,0.999897744919,2.48043866384e-14,0.999897744919,0.9998977487,5.86538739767e-16,0.9998977487,0.999618103885,7.21530259132e-15,0.999618103885,0.999897696678,-2.43102550207e-14,0.999897696678,0.999897748711,-2.82892742666e-14,0.999897748711,0.999897748714,9.4147562676e-15,0.999897748714
2.32133683881e-06,0.994991988348,0.055948450693,0.996563739062,0.99944770951,-2.04011519764e-14,0.99944770951,0.99944770951,-2.04011519764e-14,0.99944770951,0.999882044198,1.43834410791e-10,0.999882044198,0.999883933274,5.47355304684e-14,0.999883933274,0.999883939871,5.30984869343e-16,0.999883939871,0.99944770951,-1.663354934e-14,0.99944770951,0.999883766231,-1.47815440984e-13,0.999883766231,0.999883939894,-9.08546605711e-14,0.999883939894,0.999883939897,-5.63438601702e-14,0.999883939897
2.63484656582e-06,0.993739500645,0.063447252045,0.99576289795,0.999198333454,-2.87289326911e-14,0.999198333454,0.999198333454,-2.87289326911e-14,0.999198333454,0.999865071319,3.44456660204e-10,0.999865071319,0.999868255448,9.99240032205e-14,0.999868255448,0.99986826631,1.14484852291e-14,0.99986826631,0.999198333454,-3.99561518225e-14,0.999198333454,0.999867696977,-9.33070590273e-13,0.999867696977,0.99986826635,-3.69020349099e-15,0.99986826635,0.999868266353,2.20811587043e-14,0.999868266353
2.99069756244e-06,0.992206154355,0.0719379833522,0.994810598149,0.998840598082,-1.52111658499e-13,0.998840598082,0.998840598082,-1.52111658499e-13,0.998840598082,0.999845469116,7.24394275546e-10,0.999845469116,0.999850459572,9.48182495636e-14,0.999850459572,0.999850476242,-1.07028100839e-14,0.999850476242,0.998840598082,-1.46527714388e-13,0.998840598082,0.999848652054,-5.85245519314e-12,0.999848652054,0.999850476303,1.63009660705e-14,0.999850476303,0.999850476305,1.10732931831e-13,0.999850476305
3.39460825765e-06,0.99033612756,0.0815476947322,0.993687914824,0.998340150026,-6.03295309488e-13,0.998340150026,0.998340150026,-6.03295309488e-13,0.998340150026,0.999823053552,1.16578647934e-09,0.999823053552,0.999830260109,2.07008750777e-13,0.999830260109,0.999830283901,4.8847231517e-15,0.999830283901,0.998340150026,-5.958357692e-13,0.998340150026,0.999824610462,-3.60154548344e-11,0.999824610462,0.999830283992,1.17597134993e-14,0.999830283992,0.999830283994,2.70180808415e-15,0.999830283994
3.85306938677e-06,0.988061112531,0.0924182457596,0.99237386818,0.99765926486,-2.44204924234e-12,0.99765926486,0.99765926486,-2.44204924234e-12,0.99765926486,0.999797354649,5.87081726269e-10,0.999797354649,0.999807332127,5.73850431064e-14,0.999807332127,0.999807364964,-5.06909909048e-14,0.999807364964,0.99765926486,-2.44212927952e-12,0.99765926486,0.99979038509,-2.16215462452e-10,0.99979038509,0.999807365088,9.23480130147e-15,0.999807365088,0.999807365091,4.12390025636e-14,0.999807365091
4.37344829577e-06,0.985299038847,0.104707622653,0.990847052877,0.996756713356,-9.56557027013e-12,0.996756713356,0.996756713356,-9.56557027013e-12,0.996756713356,0.999765140922,-5.04716407421e-09,0.999765140922,0.999781301804,-1.04418996852e-12,0.999781301804,0.999781351304,-3.62482144945e-14,0.999781351304,0.996756713356,-9.56685270316e-12,0.996756713356,0.999732992457,-1.2542041429e-09,0.999732992457,0.999781351493,5.59482586562e-14,0.999781351493,0.999781351496,4.98083371704e-14,0.999781351496
4.96410733258e-06,0.981958013849,0.118592074479,0.989093332851,0.995581603802,-3.57650496913e-11,0.995581603802,0.995581603802,-3.57650496913e-11,0.995581603802,0.999712052875,-2.41628306845e-08,0.999712052875,0.999751733164,-3.83882902522e-12,0.999751733164,0.999751825084,1.1936243592e-14,0.999751825084,0.995581603802,-3.57576047382e-11,0.995581603802,0.999622632146,-6.95154229434e-09,0.999622632146,0.999751825435,1.30098396378e-14,0.999751825435,0.999751825437,-1.42023478131e-14,0.999751825437
5.6345382277e-06,0.97794585997,0.134270278398,0.987120363833,0.994059397219,-1.25503543154e-10,0.994059397219,0.994059397219,-1.25503543154e-10,0.994059397219,0.999593385625,-5.208512813e-08,0.999593385625,0.999718122366,-6.64230093488e-12,0.999718122366,0.999718312054,3.32340752823e-14,0.999718312054,0.994059397219,-1.25492549893e-10,0.994059397219,0.999400383366,-3.62159361628e-08,0.999400383366,0.999718312771,-2.93037105331e-14,0.999718312771,0.999718312774,6.81712696974e-14,0.999718312774
6.39551462375e-06,0.973172306846,0.151969838904,0.98496658357,0.992081375881,-4.04919714062e-10,0.992081375881,0.992081375881,-4.04919714062e-10,0.992081375881,0.999308366242,4.37583436822e-08,0.999308366242,0.999679922856,3.98794818045e-12,0.999679922856,0.999680274078,-4.57402133196e-15,0.999680274078,0.992081375881,-4.04921740033e-10,0.992081375881,0.998975486558,-1.73170946611e-07,0.998975486558,0.999680275393,9.53575425683e-14,0.999680275393,0.999680275395,5.63230857318e-14,0.999680275395
7.259265205e-06,0.967514972845,0.171951948698,0.982676292245,0.989526606174,-1.16431494386e-09,0.989526606174,0.989526606174,-1.16431494386e-09,0.989526606174,0.998706686248,9.11304379223e-07,0.998706686248,0.999636572972,5.23658190661e-11,0.999636572972,0.99963710064,4.88780159893e-14,0.99963710064,0.989526606174,-1.16430175376e-09,0.989526606174,0.998264843259,-7.32763058992e-07,0.998264843259,0.999637102604,3.34899834097e-14,0.999637102604,0.999637102607,2.29369865241e-14,0.999637102607
8.239670209e-06,0.960738413969,0.194503158834,0.980229452155,0.986333497545,-2.84480375175e-09,0.986333497545,0.986333497545,-2.84480375175e-09,0.986333497545,0.997702239214,4.29424976699e-06,0.997702239223,0.9995873634,9.26062232594e-11,0.9995873634,0.999588098634,4.67564777383e-14,0.999588098634,0.986333497545,-2.84480285652e-09,0.986333497545,0.997293384993,-2.58099229944e-06,0.997293384997,0.999588101344,2.1936295118e-14,0.999588101344,0.999588101347,6.15597559163e-14,0.999588101347
