potential_RHE_V,bulk_pH,feasible,FE_CO,FE_HCOOH,FE_C2H4,FE_H2
-0.7,7.5,True,0.008444182111233685,0.3079045094680394,0.6128634348175048,0.07078787360322203
-0.6499999999999999,7.5,True,0.015226594795240236,0.2835421898041435,0.6020807011517229,0.09915051424889337
-0.6,7.5,True,0.027755213682519368,0.2675735422621322,0.5904842033886938,0.1141870406666546
-0.55,7.5,True,0.05080141874534711,0.2597919394828998,0.5686034875553589,0.12080315421639423
-0.5,7.5,True,0.09221134313656361,0.26103060258710326,0.5218466830573798,0.12491137121895339
-0.45,7.5,True,0.1622621012340149,0.27308037385270295,0.4339223817023191,0.13073514321096308
-0.4,7.5,True,0.2646386127702334,0.2947407083713437,0.30137794174680255,0.13924273711162033
-0.95,8.0,False,,,,
-0.8999999999999999,8.0,False,,,,
-0.85,8.0,False,,,,
-0.7999999999999999,8.0,False,,,,
-0.75,8.0,True,0.004731875560895722,0.3404329721150143,0.6259973196572172,0.02883783266687286
-0.7,8.0,True,0.008520912721065248,0.3107023767416419,0.6184324034254216,0.062344307111871305
-0.6499999999999999,8.0,True,0.015418507855190222,0.2871159008013812,0.6096692100237775,0.08779638131965102
-0.6,8.0,True,0.028159335014734815,0.2714694652984834,0.5990817687202087,0.10128943096657309
-0.55,8.0,True,0.051586857959026615,0.2638085748782727,0.5773946490463324,0.10720991811636828
-0.5,8.0,True,0.09368897081861395,0.26521345071755237,0.5302089417388279,0.11088863672500585
-0.45,8.0,True,0.16498803181728855,0.27766800175296846,0.44121208325341255,0.11613188317633041
-0.4,8.0,True,0.2693810798464532,0.3000226212820889,0.3067787974695238,0.12381750140193408
-0.95,8.5,False,,,,
-0.8999999999999999,8.5,False,,,,
-0.85,8.5,False,,,,
-0.7999999999999999,8.5,False,,,,
-0.75,8.5,True,0.004750479987754618,0.34177146046885293,0.6284585680982536,0.025019491445138868
-0.7,8.5,True,0.00858945833304862,0.31320179027345685,0.6234073197226327,0.05480143167086177
-0.6499999999999999,8.5,True,0.015591066070483352,0.2903291953620407,0.6164924014628547,0.07758733710462126
-0.6,8.5,True,0.028523292392888765,0.2749781885970695,0.6068248574589571,0.08967366155108462
-0.55,8.5,True,0.05229430202877722,0.26742635311154433,0.5853128366726845,0.09496650818699404
-0.5,8.5,True,0.09502008908535661,0.26898156200910955,0.5377420675846146,0.09825628132091924
-0.45,8.5,True,0.1674461717835873,0.2818049491724466,0.4477856573697473,0.10296322167421874
-0.4,8.5,True,0.27366574538267097,0.304794658673229,0.3116582958422706,0.10988130010182934
-0.95,9.0,False,,,,
-0.8999999999999999,9.0,False,,,,
-0.85,9.0,False,,,,
-0.7999999999999999,9.0,False,,,,
-0.75,9.0,True,0.004766774993106473,0.3429437983782448,0.6306142946263052,0.0216751320023435
-0.7,9.0,True,0.008650479389658506,0.315426832113529,0.6278361174270767,0.04808657106973589
-0.6499999999999999,9.0,True,0.015745650461716658,0.29320779017521154,0.6226048829409826,0.06844167642208927
-0.6,9.0,True,0.028849881891250324,0.278126667651916,0.6137729552823448,0.07925049517448882
-0.55,9.0,True,0.05292922504906661,0.27067326799969266,0.5924193201643251,0.08397818678691553
-0.5,9.0,True,0.09621498577648163,0.27236405913694955,0.5445042820112753,0.08691667307529347
-0.45,9.0,True,0.16965481677766817,0.2855220069210187,0.45369203038524475,0.09113114591606845
-0.4,9.0,True,0.2775221274048967,0.30908969618526505,0.3160500528284546,0.09733812358138368
