angle_deg,cavity_ev,LP_ev,UP_ev
26.5,0.170348370479,0.157026800198,0.195270531193
27,0.170750544243,0.157295397234,0.19539731298
27.5,0.171160767613,0.157567364459,0.195528676107
28,0.171579061343,0.157842573371,0.195664771438
28.5,0.172005445615,0.158120890012,0.195805754751
29,0.172439939961,0.158402174888,0.195951786742
29.5,0.172882563196,0.158686282899,0.196103033021
30,0.173333333333,0.158973063294,0.196259664081
30.5,0.173792267507,0.159262359642,0.196421855244
31,0.174259381886,0.159554009827,0.196589786578
31.5,0.174734691585,0.159847846068,0.196763642795
32,0.175218210569,0.160143694967,0.196943613104
32.5,0.175709951565,0.160441377587,0.197129891037
33,0.176209925951,0.160740709566,0.197322674242
33.5,0.17671814366,0.161041501257,0.197522164228
34,0.177234613067,0.161343557919,0.197728566071
34.5,0.177759340876,0.161646679935,0.197942088081
35,0.178292332002,0.161950663082,0.198162941414
35.5,0.178833589449,0.162255298839,0.198391339643
36,0.179383114185,0.162560374739,0.198627498277
36.5,0.179940905005,0.162865674773,0.198871634223
37,0.180506958395,0.16317097983,0.199123965211
37.5,0.181081268393,0.163476068196,0.199384709153
38,0.181663826437,0.163780716087,0.199654083459
38.5,0.182254621215,0.16408469823,0.199932304306
39,0.182853638502,0.164387788489,0.200219585851
39.5,0.183460861001,0.164689760523,0.200516139409
40,0.18407626817,0.164990388483,0.200822172583
40.5,0.184699836045,0.165289447741,0.201137888367
41,0.18533153706,0.165586715637,0.201463484208
41.5,0.185971339861,0.165881972254,0.201799151048
42,0.186619209108,0.166175001193,0.202145072353
42.5,0.187275105278,0.166465590367,0.202501423122
43,0.18793898446,0.166753532779,0.202868368899
43.5,0.18861079814,0.167038627292,0.203246064791
44,0.189290492984,0.167320679385,0.203634654498
44.5,0.189978010615,0.167599501872,0.204034269367
45,0.190673287382,0.167874915583,0.204445027475
45.5,0.191376254123,0.168146750013,0.204867032753
46,0.192086835923,0.168414843899,0.205300374158
46.5,0.192804951867,0.168679045755,0.205745124895
47,0.193530514785,0.168939214329,0.206201341704
47.5,0.194263430992,0.169195218997,0.206669064208
48,0.195003600027,0.169446940075,0.207148314329
48.5,0.195750914381,0.169694269063,0.207639095786
49,0.19650525922,0.169937108801,0.208141393655
49.5,0.197266512113,0.170175373551,0.208655174009
50,0.198034542744,0.170408988997,0.209180383638
50.5,0.198809212627,0.170637892175,0.209716949833
51,0.199590374817,0.170862031321,0.210264780241
51.5,0.200377873619,0.171081365656,0.210823762793
52,0.20117154429,0.171295865109,0.211393765688
52.5,0.201971212746,0.171505509973,0.211974637433
53,0.202776695269,0.17171029052,0.212566206941
53.5,0.203587798204,0.17191020656,0.213168283664
54,0.204404317669,0.172105266975,0.213780657775
54.5,0.205226039258,0.172295489206,0.214403100375
55,0.206052737754,0.172480898728,0.215035363737
55.5,0.20688417684,0.172661528504,0.215677181557
56,0.207720108818,0.172837418424,0.216328269238
56.5,0.208560274333,0.173008614743,0.21698832417
57,0.209404402106,0.173175169518,0.217657026027
57.5,0.210252208675,0.173337140055,0.218334037065
58,0.211103398146,0.173494588355,0.219019002417
58.5,0.211957661958,0.173647580587,0.219711550391
59,0.212814678656,0.17379618657,0.220411292757
59.5,0.213674113691,0.173940479278,0.22111782504
60,0.214535619222,0.174080534368,0.221830726796
60.5,0.215398833949,0.174216429731,0.222549561891
61,0.216263382964,0.17434824507,0.22327387877
61.5,0.217128877617,0.174476061499,0.224003210729
62,0.217994915423,0.17459996118,0.224737076177
62.5,0.21886107998,0.174720026973,0.225474978908
63,0.219726940927,0.174836342124,0.226216408365
63.5,0.220592053929,0.174948989971,0.226960839922
64,0.221455960699,0.17505805368,0.227707735165
64.5,0.222318189053,0.175163616006,0.228456542185
65,0.223178253004,0.175265759071,0.229206695897
65.5,0.224035652902,0.175364564173,0.229957618362
66,0.22488987561,0.17546011161,0.23070871914
66.5,0.225740394731,0.175552480526,0.231459395673
67,0.226586670876,0.175641748776,0.232209033683
67.5,0.22742815199,0.175727992805,0.232957007616
68,0.228264273726,0.175811287551,0.233702681113
68.5,0.229094459866,0.175891706351,0.234445407526
69,0.229918122812,0.175969320872,0.235184530469
69.5,0.230734664117,0.176044201044,0.23591938442
70,0.231543475088,0.176116415017,0.236649295365
