cavity_ev,N1_quantum_ratio,N1_classical_ratio,N1_quantum_rate_s-1,N4_quantum_ratio,N4_classical_ratio,N4_quantum_rate_s-1,N16_quantum_ratio,N16_classical_ratio,N16_quantum_rate_s-1,N64_quantum_ratio,N64_classical_ratio,N64_quantum_rate_s-1
0.1275,0.984315154493,0.972222998554,3.16586583385e-20,0.996320567937,0.993075502824,3.2044790037e-20,0.999095174392,0.998270338087,3.21340300709e-20,0.999774731443,0.999567679329,3.21558867542e-20
0.129,0.984385859449,0.972866715129,3.16609324314e-20,0.996326909588,0.993234008022,3.20449940044e-20,0.999096071287,0.998309799667,3.21340589179e-20,0.999774912979,0.99957753424,3.21558925929e-20
0.1305,0.984459738071,0.97349167617,3.16633085993e-20,0.996334588328,0.993388025321,3.20452409767e-20,0.999097334047,0.998348152541,3.21340995322e-20,0.999775187915,0.999587112812,3.21559014357e-20
0.132,0.984536623274,0.974098545937,3.16657814682e-20,0.996343535478,0.993537705327,3.20455287451e-20,0.999098944065,0.998385433366,3.21341513154e-20,0.999775551516,0.999596424148,3.21559131302e-20
0.1335,0.984616351908,0.974687960087,3.16683457908e-20,0.996353684745,0.993683192681,3.20458551773e-20,0.999100883394,0.998421677381,3.21342136903e-20,0.99977599921,0.999605477001,3.21559275295e-20
0.135,0.984698764901,0.975260527193,3.16709964508e-20,0.99636497218,0.993824626341,3.20462182165e-20,0.999103134733,0.998456918475,3.21342861005e-20,0.999776526596,0.999614279787,3.21559444919e-20
0.1365,0.984783707372,0.975816830157,3.16737284667e-20,0.996377336128,0.993962139856,3.20466158798e-20,0.999105681417,0.998491189243,3.21343680098e-20,0.99977712943,0.999622840607,3.21559638809e-20
0.138,0.984871028718,0.976357427542,3.16765369947e-20,0.996390717182,0.994095861613,3.20470462564e-20,0.999108507394,0.998524521052,3.21344589021e-20,0.999777803628,0.999631167257,3.21559855652e-20
0.1395,0.984960582674,0.976882854808,3.16794173304e-20,0.996405058128,0.994225915082,3.20475075062e-20,0.999111597219,0.998556944093,3.21345582805e-20,0.99977854526,0.99963926724,3.21560094184e-20
0.141,0.985052227353,0.977393625481,3.16823649103e-20,0.996420303896,0.994352419037,3.20479978579e-20,0.99911493603,0.99858848743,3.21346656671e-20,0.999779350542,0.999647147785,3.21560353188e-20
0.1425,0.985145825264,0.977890232244,3.16853753123e-20,0.996436401507,0.99447548777,3.20485156074e-20,0.999118509539,0.998619179057,3.21347806024e-20,0.999780215842,0.999654815852,3.21560631496e-20
