dimensionless_reaction_q,photon_massweighted_Q,potential_ev
0.858,-17.4,3.1255075287
0.884,-17.4,3.03078909944
0.91,-17.4,2.94382170909
0.936,-17.4,2.86536665041
0.962,-17.4,2.79620728264
0.988,-17.4,2.73714903146
1.014,-17.4,2.68901938901
1.04,-17.4,2.65266791388
1.066,-17.4,2.62896623114
1.092,-17.4,2.61880803229
1.118,-17.4,2.6231090753
1.144,-17.4,2.6428071846
1.17,-17.4,2.67886225108
1.196,-17.4,2.73225623206
1.222,-17.4,2.80399315136
1.248,-17.4,2.89509909923
1.274,-17.4,3.00662223237
1.3,-17.4,3.13963277395
-1.3,-17.1,9.44970899801
-1.274,-17.1,9.18714353195
-1.248,-17.1,8.94606547433
-1.222,-17.1,8.72540460198
-1.196,-17.1,8.5241127582
-1.17,-17.1,8.34116385273
-1.144,-17.1,8.17555386178
-1.118,-17.1,8.02630082799
-1.092,-17.1,7.8924448605
-1.066,-17.1,7.77304813487
-1.04,-17.1,7.66719489313
-1.014,-17.1,7.57399144378
-0.988,-17.1,7.49256616175
-0.962,-17.1,7.42206948845
-0.936,-17.1,7.36167393174
-0.91,-17.1,7.31057406593
-0.884,-17.1,7.2679865318
-0.858,-17.1,7.23315003658
-0.832,-17.1,7.20532535395
-0.806,-17.1,7.18379532407
-0.78,-17.1,7.16786485353
-0.754,-17.1,7.15686091539
-0.728,-17.1,7.15013254916
-0.702,-17.1,7.14705086083
-0.676,-17.1,7.14700902281
-0.65,-17.1,7.14942227401
-0.624,-17.1,7.15372791975
-0.598,-17.1,7.15938533185
-0.572,-17.1,7.16587594856
-0.546,-17.1,7.17270327459
-0.52,-17.1,7.17939288113
-0.494,-17.1,7.18549240579
-0.468,-17.1,7.19057155267
-0.442,-17.1,7.19422209231
-0.416,-17.1,7.19605786171
-0.39,-17.1,7.19571476432
-0.364,-17.1,7.19285077008
-0.338,-17.1,7.18714591533
-0.312,-17.1,7.17830230293
-0.286,-17.1,7.16604410214
-0.26,-17.1,7.15011754872
-0.234,-17.1,7.13029094487
-0.208,-17.1,7.10635465924
-0.182,-17.1,7.07812112695
-0.156,-17.1,7.04542484956
-0.13,-17.1,7.00812239512
-0.104,-17.1,6.9660923981
-0.078,-17.1,6.91923555945
-0.052,-17.1,6.86747464657
-0.026,-17.1,6.81075449332
0,-17.1,6.749042
0.026,-17.1,6.6823261334
0.052,-17.1,6.61061792673
0.078,-17.1,6.53395047969
0.104,-17.1,6.45237895842
0.13,-17.1,6.36598059552
0.156,-17.1,6.27485469004
0.182,-17.1,6.1791226075
0.208,-17.1,6.07892777987
